disease,postLink,postHeading,postContent,postTags
Brain & Nervous System Disorders,https://messageboards.webmd.com/health-conditions/f/brain-nervous-system-disorder/27549/neurontin-gabapentin-and-cipro,Neurontin(Gabapentin) and Cipro,Probably had a reaction to Cipro after major spine operation. Tendom damage to right thumb are and left elbow which required surgery. Have a bad sinus infection that no Penicillin drug will help. Doctor putting me on Cipro(have to take the chance). Since Gabapentin is for nerve damage and neuropathy what is the danger of taking to two together. Would think that the Gabapentin would perhaps offset any nerve damage from the Cipro. My doctor did not even know that Cipro has a FDA warning. Doctors prescribing too many antibiotics over the years.,
Brain & Nervous System Disorders,https://messageboards.webmd.com/health-conditions/f/brain-nervous-system-disorder/27714/is-this-atrophy,Is this atrophy?,Does this look like atrophy? My hands did not look this bony a few months ago. I also have fasciculations in legs feet and arms. Neurologist noted possible tongue fasciculations on my last visit. I have some weakness in my legs and arms. I also have right sided facial weakness. Symptoms started 8 months ago. Mri and lumbar puncture are ok. Emg 4 months ago was normal except for reduction in right median amplitude wrist. What can cause these symptoms?,
Brain & Nervous System Disorders,https://messageboards.webmd.com/health-conditions/f/brain-nervous-system-disorder/27236/i-m-not-sure,I'm not sure,"Hi my name is Deinma,So I thought I had anxiety but recently my gf made me think otherwise.She use to cut , I use to say if you do this I do that so she stopped.I started hurting myself when i got depressed though so it turned into a means of coping , I don't hurt myself to cope anymore but even worse it's now turned into something I can't control......I'll get a migraine, and would think that I get anxiety a little after.By that I mean I'll start to fidget and twitch , start sweating, pacing around whatever room I'm In, my thinking becomes blocked, even worse I'll begin to start scratching, I have to stop myself from scratching and gripping my arms cause I'll leave cuts and start tearing my skin and hair out , I'll have urges to hit myself and it becomes so hard to control.my head wouldn't even feel like it hurts anymore because it feels like my body is beginning to freak out over nothing.im able to control my breathing and I would still feel like I need to hit myself.makes me feel broken.my gf says this isn't anxiety , and almost always her hugs calm me down,I thought this was anxiety for so long if she's right and this isn't any type of anxiety then what's wrong with Me? This is becoming a big problem.Im 18 yrs old and honestly i never really had these kind of problems until about a year and a half ago.Any help would be appreciated, thank you.",
ADD/ADHD,https://messageboards.webmd.com/health-conditions/f/add-adhd/52758/minor-swelling-and-itchiness-after-adderall-wears-off,Minor swelling and itchiness after Adderall wears off.,Occasionally some spots on my feet will become slightly swollen and itchy during the comedown from my 20mg Adderall XR. It doesn't happen every time but often enough to be annoying. I've been on Adderall for 6 years although this only started happening in the last year. I only take Adderall 2-3 days a week right now due to all of my classes being on Tuesdays and Thursdays.,"Symptoms , ADHD in Adults"
ADD/ADHD,https://messageboards.webmd.com/health-conditions/f/add-adhd/55888/update-on-ex-wife-denial,Update on Ex-wife denial,"Last posted 3 months ago concerning my ex-wife's denial of Adhd & how she was affecting our kids. Since that time she has continously been getting our kids to games & practices late. She still has hard time getting up in the morning. On several occasions I've brought kids down to her house at 7:00 in the morning, she new that we would be there, only to wake her up after ringing the door bell a couple of times. She still has a very volatile temper. Basically nothing has changed.  2 weeks ago my son & i were at my daughters game to be played waiting for my daughter & my ex-wife to show up. The game was suppose to start at 6:00. She came rolling in at 6:06. My daughter took off to sprint to the dugout so she could play. I ask her why she was late again & she said, once again, she lost track of time!   3 weeks ago when i dropped the kids off i noticed 2 books on her counter concerning anxiety. So she is showing signs of another comorbid condition. She was diagnosed with dyslexia when she was younger also. When my-ex wife hyper focuses she can do anything . She is brilliant!  Fast forward to this weekend. I ask her again to please get the kids to the games on time. She just acted like it was no big deal.  I've read Gina Pera's book; Is IT You ME or Adhd, been involved in several webinars, & accumulated 5 years worth of info. regarding adult women's Adhd. Feeling very sorry for her & her struggles i decided to give her the book & some other info. She really got angry with me! She then disclosed that she got diagnosed with Adhd awhile back. She wouldn't tell me how long ago. Though i think it was just recently. She also said that her 67 year old father just was recently diagnosed also. I pray for the kids sake that her condition improves through medication & Adhd coaching like so many of the success stories I've read over the last few years.   The whole point behind this post today is for you spouses out there & close family members to not give up on helping your loved one. If you've done the research & talked with Good Credible Adhd Doctors about your loved one & you suspect they have Adhd they more than likely do. For you folks out there that can relate to what i'm discussing, you no what to do. Until you lived with someone with Adhd there is no way you can comprehend the daily roller coaster ride that one is on! Get them some help!!",
ADD/ADHD,https://messageboards.webmd.com/health-conditions/f/add-adhd/55045/pre-workout-affecting-adhd,Pre-Workout Affecting ADHD?,"So I am a 15 year old boy and I’m starting to get back into working out. Me and my friends take supplements, but I’m worried because I am different then them because I have ADHD. I am worried that with my disorder, I shouldn’t be taking Pre-Workout, which I currently take. Currently, I take G-Fuel, which is the least caffeinated pre-workout on the market, but I wanted to get a tiny bit stronger one but I don’t know if I should be taking it at all, please help?","ADHD in Children , Symptoms , Treatment & Care"
ADD/ADHD,https://messageboards.webmd.com/health-conditions/f/add-adhd/50893/attention-problems,Attention problems,I am preparing for my engineering finals and it's difficult to keep my focus on my studies even though i am taking the medication attentrol 50 mg per day. Is there any ways or tips to improve my focus.Please help,"Living With , Treatment & Care , ADHD in Adults"
ADD/ADHD,https://messageboards.webmd.com/health-conditions/f/add-adhd/37615/does-is-seem-like-my-adhd-diagnosis-was-wrong,Does is seem like my ADHD diagnosis was wrong?,I've known many people with adhd and none of them seem to struggle as much as I do. I don't know how to keep friendships or make friendships. I'm just awkward I don't know what to say or how to act. I have no desire to fit into society but I still want to be loved. I don't know the symptoms of asburgers very well. I learn slower than others. By a great deal. I'm constantly told to grow up even though I don't know what exactly the person is getting at. As a kid I would be funny to get people to like me because that's how I made friends. However now that I'm older it's annoying and I still never sovled how to relate to others. It's so incredibly difficult for me to make and keep friends. I feel like an outsider looking in constantly. I never know how to respond to other people. It's so bad that I can't hold down a job longer than a month.,"Symptoms , Diagnosis , ADHD in Adults"
ADD/ADHD,https://messageboards.webmd.com/health-conditions/f/add-adhd/50873/what-is-a-normal-dose-of-adderall-for-adhd,What is a normal dose of Adderall for ADHD?,"I have been on 60mg of Adderall XR/day in the past, but attempted to stop taking it because I found out it can be habit forming and I have a history of addiction. I never abused it though, and found my symptoms to be too much to handle without the medication. I went back to my psychiatrist and explained the situation. She knows I have been clean/sober for over 9 years, and felt there was no reason for concern, but agreed to try a lower dose anyway. I was started back on 15mgs/day. Now we have decided to increase the dose to 30mgs/day because 15 just wasn't cutting it. I cannot stay focused. I saw my primary care 2 days ago, and he seemed surprised, and stated ""even 15mgs/day is a high dose!"" I know he is NOT a psychiatrist, but now I'm curious if I've been on massive doses of Adderall in the past, or if he just doesn't know what he's talking about.",
ADD/ADHD,https://messageboards.webmd.com/health-conditions/f/add-adhd/53758/adhd,Adhd,Why when I take Adderall in the morning at night I can't go to sleep. Has anyone else experience this and what did they do so they can go to sleep?,ADHD in Adults
ADD/ADHD,https://messageboards.webmd.com/health-conditions/f/add-adhd/50570/is-it-possible-to-relapse-from-add,Is it possible to relapse from ADD?,"I haven't taken my behavioral science block yet, but with finals rolling up soon and my attention slowly waning, I have been generating a few burning questions. I was diagnosed with ADD at age 12, and was using Concerta to control my ADD. Somewhere in the middle of highschool I was weaned off and was able to make proficient grades with out worry of distractions of day dreaming events up through my 4 years of college. Now back into medical school I am beginning to experience those forgetful and attention lacking problems just when my exams are rolling in. I am curious about namely two things: Is it possible to relapse into ADD? And if so, taking into account the 250 mg Concerta I was taking at age 12, will setting the prescription that high be detrimental to me since I have been off Concerta for nearly 10 years?",ADHD in Adults
