disease,postLink,postHeading,postContent
Carpal Tunnel,https://patient.info/forums/discuss/carpal-tunnel-or-not-698046,Carpal Tunnel or Not,"I am so confused now months ago went to Doctor as had pain in my wrist and going up my thumb, he said was Carpal Tunnel and there is an operation you can get, at the time it was not to bad and said No its okay not that bad yet was just unsure why. Anyway it did get worse and went back was another doctor and told her, she said no I am sure that its a nerve coming from your  . Now it has got so much worse i cant put pressure on that wrist or if i turn it a certain way it is painful then at night time yes so bad. Yes went back to Doctors again this time was told i had soft tissue in the wrist and was given ibuprofen to put on my wrist which does nothing. So now i really don,t know what to think 0 likes, 7 replies "
Cataract,https://patient.info/forums/discuss/epiretinal-membrane-696006,Epiretinal membrane,"Hi, I'm having laser surgery on my right eye next Tuesday.  Have been told I have  Epiretinal membrane and I opted for laser first to see if it would help, although was told it probably wouldn't, I'm really worried that I may have to have surgery, has anyone else had this and had the surgery, what was it like and am I worrying for nothing...I had cataract surgery in both eyes in 2017 0 likes, 4 replies "
Carpal Tunnel,https://patient.info/forums/discuss/thank-you-for-the-answers-to-my-carpal-tunnel-question-698105,Thank you for the answers to my Carpal Tunnel question,"I had a good response to my discussion regarding not knowing if had Carpal Tunnel or not after being told 3 different things from 3 Doctors. One person mentioned a pain going down the whole arm which i don't have. but i do have a very painful spot on my wrist under my thumb and if i turn my wrist a certain way the pain is awful or if i pick something up I do not drop anything tho then also at night my hand is painful going up my thumb and then i have tingling in my fingers. Its mostly my wrist pain that annoys me so much and as i go to Pilates there is so much exercises i cannot do as i cant kneel down and put any weight at all on my wrist. Rubbing stuff on it does nothing and seems crazy to me really. 0 likes, 1 reply "
Cataract,https://patient.info/forums/discuss/bits-of-cataract-remaining-after-surgery-696589,Bits of Cataract Remaining After Surgery,"HI ALL i had cataract surgery on my right eye about two weeks ago  i see much clearer (20/15 vision now) but i was seeing a ton of specs in my vision   on mu followup the next day my doctor told me there was a small tear that happened during surgery (i think he said on the retina but bot certain) that allowed some remnants to get into the eye fluid and it should dissolve in a few weeks to months. i returned yesterday for a follow up and he said the same thing . Theres been no improvement This is a drawing i made approximating what i see. A few large remnants and dozens if not hundreds of small grains  mostly in the upper field of vision I'm not sure of his explanation and plan of (non) action for a few reasons  i believe that the specs I'm seeing are on a fixed surface of my eye for two reasons  first, if i stare at a fixed soot and move only my head the spots do not move at all   if they were floating in liquid i would expect SOME movement   second because they always remain the same location in relation to each other. So that a larger triangle shaped remnant  and a smaller straight , stick shaped remnant are always the same distance from each other for the past two weeks   id expect them to move over time if they were floaters in liquid Even if they are floaters, I mistrust his plan of letting then dissolve on their own   At first I asked how often this happens and he said maybe 1 in 1000 times.  But when i asked him how often he sees them going away on their own he couldn't give me an answer   He said patients disappear so they don't always check in so he can see the remnants are gone.  I asked how he knew they might dissolve away and he said thats what the body does   it reabsorbs things like this eventually   it sounded like guesswork to me he seemed more concerned that the tear wouldn't get worse or get infected.  And of course I want to be sure that doesn't  happen. But my goal is also to have clear vision  and it concerns me that he seems so unconcerned and I feel like i've merely traded in one eye condition  for another sorry for the lengthy explanation but any insight (pun intended) would be appreciated 0 likes, 3 replies "
Cataract,https://patient.info/forums/discuss/my-distance-vision-is-terrible-after-surgery-696131,My distance vision is terrible after surgery,"I had a monofocal lens for distance placed in January. The doctor said she aimed it to be -.o1 . It is measuring -1.0. I can see up to about 20 feet away. After that it becomes blurry, almost to the point of double vision when looking at things like road signs. The only thing the doctor is recommending is that I wear glasses. I am extremely upset because I didn't need glasses before and I don't feel like I should have to settle on wearing glasses after surgery. Also, it is as if I am looking through the opening of a  glass jar. I can see a ring that makes my depth perception seem off. At night, there is a complete tunnel of rings that surround any points of light. I am overall displeased with the outcome of surgery. I have not had my other eye done because I am afraid that the same thing will happen to it. I did go to another surgeon for a second opinion but all he did was look at the lens and said it looked beautiful. He didn't want to hear my concerns. I am just really frustrated. 0 likes, 14 replies "
Cataract,https://patient.info/forums/discuss/tecnis-symfony-lenses-recalled-by-fda-anyone-suffered-loss-of-vision-548587,TECNIS SYMFONY LENSES RECALLED BY FDA-ANYONE SUFFERED LOSS OF VISION,"I am scheduled for cataract surgery on Nov. 30th, and the TECNIS Symfony lens (manufactured by Abbott Medical Optics, Inc.) is recommended. I am concerned because FDA issued a recall notice for these lenses on Sept. 21st of this year.  (Recall #Z2857-2016, Event #75051)  These lenses (about 737)  were NOT properly checked prior to distribution.  Has anyone had these lenses installed and needed corrective surgery or suffered loss of vision as a result of having the lenses installed.? 0 likes, 67 replies "
Cataract,https://patient.info/forums/discuss/concerns-about-alcon-acrysoft-iol-694818,Concerns about Alcon Acrysoft IOL,"I am scheduled for my first cataract eye surgery on March 5.  I have selected to do a toric monofocal lens set for distance with mini monovision.  I was told the lens my surgeon uses is the Alcon Acrysoft.  I have read comments that this lens causes glimmering and, also, a diamond shaped reflection (cat-eye) that can be seen by, and is disturbing, to others.  I would like to avoid the glimmering and, even though it is cosmetic, I don't want to feel self-conscious about the appearance of my eyes and want to avoid the ""cat-eye"" reflection, too.  Can anyone who has had this lens implanted share with me your experience with these two issues?  I'm hoping my concerns are unfounded but right now I am filled with   and indecision about my upcoming surgery. 0 likes, 16 replies "
Cataract,https://patient.info/forums/discuss/panoptix-trifocal-toric-iol-implant-696400,PanOptix Trifocal Toric IOL implant,"I am a 47 year old male who has noticed a quite sudden decline in my eye sight the last 12 months or so. I have had PRK in my left eye some years ago. My right remains untreated but I have been using   for 30 plus years. My ophthalmologist told me about 7 months ago that i had   and upon my return visit recently, (and a continual noticeable reduction in sight) he has told me i require cataract surgery. He suggested that I choose between trifocals and mono focal IOL's. He said it would be less easy to get my sight correct in my treated eye. I have been told that they choose Alcon Panoptix trifocal IOL's. I would really prefer to see all distances unimpeded by spectacles but am not sure what to do after reading this forum. I dont know my exact current measurements but with my contact lenses in can read about 20/50 but not clearly. Anyone have any idea on these IOL's? I'm from Australia, btw. Thanks, Dan. . 0 likes, 6 replies "
Cataract,https://patient.info/forums/discuss/anyone-choose-crystalens--695719,Anyone choose Crystalens?,"I see lots of discussion about the Symfony lenses, but no mention of Crystalens.  My surgeries are scheduled in a month+ but I have to choose between these two options.  After reading these discussions, I am not feeling good at all about the Symfony.  Does anyone have experience with the Crystalens option?  Thanks for your inputs! 0 likes, 45 replies "
Cataract,https://patient.info/forums/discuss/good-not-great-5-months-after-cataract-surgery-696498,"Good, not Great -- 5 Months After Cataract Surgery","My wife, age 60, had cataract surgery in both eyes five months ago. Both of her lenses were quite cloudy. She also had substantial   in both eyes. Five months later, her vision is clear and bright, but she still requires corrective lenses for BOTH distance vision and for reading. Without glasses her vision is sharp only between about 3 and 10 feet. Her doctor said the goal was for good distance vision without glasses, but that has not happened. Thus, she must still wear eyeglasses most of the time, except at her computer. Overall, her vision is much improved. She previously required heavy, thick eyeglass lenses. Now her glasses are light and comfortable. This is a welcome change. However, she expected not to need glasses for distance vision. At this stage -- five months removed from her cataract surgery -- is her distance vision likely to further improve? Or is this as good as it's going to get? Thanks, Jeff 1 like, 20 replies "
