disease,postLink,postHeading,postContent
Blepharitis,https://patient.info/forums/discuss/manuka-honey-news--689624,Manuka Honey News....,"For those using Manuka Honey, it's best to use full strength.  I was diluting it and applying it with a q-tip, but wasn't getting getting the full benifet.  My eyes would still itch.  Now I apply it full strength with a clean finger, and it really helps so much more.  Yes, it is sticky, and it burns some, but my eyes feel wonderful afterwards.  Later I remove some of it with a damp tissue.  Remember, clean  fingers!  Hope this helps.  😄 0 likes, 5 replies "
Blepharitis,https://patient.info/forums/discuss/antibiotics-for-blepharitis--690227,Antibiotics for Blepharitis? ,"hey guys, what   have cured blepharitis? 0 likes, 3 replies "
Blepharitis,https://patient.info/forums/discuss/idk-if-i-have-this-but-691436,idk if i have this but,"imm tired of this for a week my upper left eyelid has been twitching through out the day .... when i sneeze it twitches even more its sooo annoying. how do i get rid of this ? should i see a doctor or just try things bf i mention it to my doc . 0 likes, 1 reply "
Blepharitis,https://patient.info/forums/discuss/had-any-success-with-castor-oil--694103,Had any success with Castor Oil?,"It seems some have.  Any testimonials? 0 likes, 0 replies "
Blepharitis,https://patient.info/forums/discuss/had-any-success-with-castor-oil--694104,Had any success with Castor Oil?,"It seems some have.  Any testimonials? 0 likes, 2 replies "
Blepharitis,https://patient.info/forums/discuss/blepharitis-696089,Blepharitis ,"I have suffered from   for a few years and tried many treatments with no effect. I came across an article about fabric conditioner causing  . It crossed my mind that maybe fabric conditioners could be irritating my eyes. So i stopped using it in my bed linen wash, as pillows and duvet covers would be close contact to my eyes.  I must say since i have  done this my eyes seem less irritated so maybe other sufferers could try not adding fabric conditioner to their bedding wash and see if this helps in any way. 0 likes, 2 replies "
Blepharitis,https://patient.info/forums/discuss/ill-been-using-manuka-honey-umf20-almost-1-week-and-still-flare-up--694340,ill been using manuka honey umf20+ almost 1 week and still flare up..,"I put it on in the morning with a q-tip.  I smear my lower lashes and then close my eye and smear more on the top.  I use one q-tip for each eye.After 15 minutes I rub in little honey on my eyelid and I just leave it or wash it.At the night I do same procedure like morning routine and still flare up again..😢 0 likes, 1 reply "
Blepharitis,https://patient.info/forums/discuss/anyone-use-wet-ones--694451,Anyone use wet ones...,"im hv bacterial posterior  .. if any one success with wet ones wipes. 0 likes, 2 replies "
Blepharitis,https://patient.info/forums/discuss/blephex-treatment-688941,Blephex Treatment ,"Hi all, I'm a long term   sufferer, from as early as I can remember (now 29). I've tried the hot compressing over the years on and off but usually don't bother having seen minimal results. I stumbled across a treatment called ""blephex"" a few days ago. Videos of the procedure can be found on youtube but it basically uses an electric device similar to a toothbrush across the eyelids to remove the debris/ bacteria. I'm surprised not to see a thread on this already?! This afternoon i attended an appointment to undergo the procedure. It was painless (tickled a little) and took around 20mins. The eyelids are still red / swollen but feel as fresh as I can remember. Hopefully the redness reduces over time too but regardless I would definitely recommend looking into this treatment. It cost me £59 but I imagine the cost will vary depending on the clinic you book through. Hope this helps Daniel 1 like, 7 replies "
Blepharitis,https://patient.info/forums/discuss/meibohem-gland-dysfunction-696199,Meibohem Gland Dysfunction,"I have had   for about two years, just been told I have   and Meibohem Gland Dysfunction. I have tried many drops, hot compresses, ointment at night but have not really improved. I have just been informed I have a cataract that needs operation. From what I understand the op is not successful with MGD or DRY eyes. Optician wants me to see eye consultant for a pre-op assessment but I have a long wait & her scared whether I should go ahead or not?? Any advice please??? 0 likes, 5 replies "
Elbow Problems,https://patient.info/forums/discuss/numbness-post-op-ulnar-nerve-transposition-568011,Numbness Post Op Ulnar Nerve Transposition,"I had an ulnar nerve transposition 2/22, 5 days post op, and I have a lot of numbness on my forearm below my elbow.. It was never numb before the surgery, only my pinky and the side of my hand.  I'm assuming this is from the surgery itself? Should I be concerned? Help? 0 likes, 3 replies "
Elbow Problems,https://patient.info/forums/discuss/untreated-minor-dislocated-elbow-for-15-years-652317,Untreated minor dislocated elbow for 15 years,"I would like to check on treating a minor elbow dislocation, which happen when I was 15 years old and left untreated for half my life. I remembered the incident very clearly, that I landed on my left palm, and there was a slight rotation of my humerus towards the left.The only discomfort back then, was the mobility of my arm and pinched nerves. It healed up after about a month or less.  In the last 15 years, I have never encountered any range of motion issues, or push/pull with/without weights. I have participated in high intensity sports with no problems other than disparity of arm strength - about 10% weaker considering i am a left hander. There are no clicking of joints. It can be noticed from the back of my arm that the elbow joint is not quite in place. From the front, it looks exactly like how the injury happened and the bicep does not fully contract when flexed. I am considering treatment around the end of the year. I need some opinions on whether such treatment is advisable after 15 years. What is the average healing time? Hope to get some advice. 0 likes, 1 reply "
Elbow Problems,https://patient.info/forums/discuss/broken-elbow-now-can-t-straighten-my-arm-after-10-weeks-360496,Broken elbow now can't straighten my arm after 10 weeks,"In November I was kicked by a horse and it completely shattered my right elbow.  The open wound was exposed to all sorts of farmyard debris for a few hours before I was eventually airlifted to hospital. I was originally sent to Minors, but then an orthopaedic surgeon saw me and rushed me straight to theatre where I was in surgery for 3 hours. The consultant managed to ""piece"" all the bits of bone together using a tension band. I was in hospital for one night and placed on an antibiotic IV. I was then discharged with one week's worth of oral antibiotics.  I was told at this time that I would be able to straighten my arm but maybe not 100%.  Two weeks later, the elbow was so inflamed and hot, that I was admitted to hospital for a week and placed on IV  , and I also underwent two ""wash out"" operations, where more debris was removed from the wound.   Again, I was discharged but with NO antibiotics.  Two days later and the wound is severely inflamed yet again and I had to go back to my consultant for a 4 week course of oral antibiotics.   During this time I have been having physio but the elbow is locked and absolutely refuses to move past a 90 degree angle.  Then, last week, the wound become inflamed and sore yet again, and I was admitted to hospital where I underwent surgery to remove the tension band, as my consultant felt this was preventing the infection from healing.   I feel that if the consultant had cleaned the wound out sufficiently when I had the accident, then it would not have become infected.  Also, I am now being told that I may never be able to straighten my arm.  This means no horse riding, no driving, no yoga (which I was going to teach etc).  I cannot get myself dressed as I cannot raise my right arm, and I cannot do other self care things for myself.  My questions are (a) do I have a case for medical negligence regarding the infection and (b) is there a procedure whereby I can straighten my arm?  Many thanks and sorry this is so long winded! (PS, I have now been diagnosed with   of the elbow),Lisa 0 likes, 17 replies "
Elbow Problems,https://patient.info/forums/discuss/elbow-radial-head-fracture-653601,Elbow radial head fracture,"I was on cast for 6 weeks covering from shoulder to wrist , just removed cast yesterday. Went to physiotherapist, unable to completely move finger and wrist too. My physiotherapist made me do some exercise , getting lot of pain at wrist. My fingers and wrist had swelling too. Is it to observe abnormality at wrist when I had cast for elbow.? 0 likes, 1 reply "
Elbow Problems,https://patient.info/forums/discuss/pain-in-elbow-2-yrs-after-post-op-what-should-i-do--654033,"Pain in elbow 2 yrs after post op, what should I do?","In april of 2016 I dislocated and fractured my elbow, along with shattering my radial head in my right arm. This was all due to landing incorrectly on an olympic style trampoline. Anyways, I ended up getting an 6 hour surgery, in order to put a prosthesis in place of most of my elbow. I have experienced pain for the past year, however recently the pain has gotten much worse. The pain feels as though there is a rubber band attaching my bones together, making my elbow feel like there is a lot of resistance. There is also a nerve type pain that comes and goes very frequently. I have considered going to the hospital to get it checked out however last time I went for a post op check up and I said I had pain they didn't do anything so I don't want the same thing to happen again. Does anyone have any idea of what is going on? or what I should do? Thanks 0 likes, 1 reply "
Elbow Problems,https://patient.info/forums/discuss/elbow-replacement-654499,Elbow replacement,"My doctor referred me to university for an elbow replacement they turned me down without seeing me.  Then he referred me to another and I did get in to see that doc.  He said I def need a replacement but because of my age he suggested I wait a few years.  I don’t think I can do that.  I crushed me elbow 11 years ago, I’ve had 14 surgeries.  I have nerve damage and my hand is deteriorating.   What would you do? 0 likes, 3 replies "
Elbow Problems,https://patient.info/forums/discuss/elbow-shoulder-injury-652304,Elbow/shoulder injury ,"Hi everyone, first post here. First off let me give you background- in November of 2017 I injured my elbow at a hockey tournament. I don't really know how as it did not hurt until the next day or so. After a month of resting for two weeks and trying to play (ortho originally said maybe bone bruise) I wound up getting in more pain and got an MRI. It wound up being sprains of the MCL and LCL along with mild bursitis. Now this time I got some PT treatment (mostly massage, cold laser, ultrasound) and I really just didn't pick up a stick for 5-6 weeks. When I came back I had zero issues adjusting and quickly got back on my playing schedule ( which is a lot of hockey weekly) . This was late January.  Fast forward to march 18. I was playing in my basement rink that I have, in what was a freak accident I sort of stepped on my stick and fell directly backwards and landed on my previously injured elbow. I didn't think much of it and played a whole game that night. I kept testing it as the days went on and it seemed uncomfortable so I stopped playing for a week. Tried again, felt OK until a few days later when my elbow had terrible aching, along with the muscles in my upper arm (shoulder, bicep) decided was best to wait again. In this time I had some PT treatments, some massage to help with the upper arm soreness and a bit of upper back tightness on that side as well. Everything felt a good amount better so I tested it again. Skated and shot around in my basement for about 15 minutes. In the days following again experienced elbow ache, very sore upper arm muscles (deltoid region mainly, also some upper back/ neck tightness on that side) this was last Sunday.  I now have an appointment with my ortho on Wednesday.  My question is: I had similar symptoms during my first time I sprained those ligaments. Could I fall on the elbow aggravate those injuries that bad? And is that normal for all the upper arm muscles to get that sore and fatigued while trying to play? Maybe like the muscles are working to hard? Or could I have possibly also injured the shoulder as well with the fall? Any experience with something like this, and comments would be cool as I go into my appointment. Thank you!  0 likes, 1 reply "
Elbow Problems,https://patient.info/forums/discuss/radial-head-fracture-659829,Radial head fracture,"I was diagnosed a radial head fracture and told to move my arm as much as possible, even though it hurts to do so. I have noticed that the mobility of my elbow on the vertical axis is much lower generally and thus I was wondering wether moving my arm, as suggested, will help with this or wether it will just postpone the healing of my fracture. 0 likes, 0 replies "
