disease,postLink,postHeading,postContent
Depression,https://www.drugs.com/answers/how-does-provigil-stabilize-your-mood-i-am-on-it-355774.html,How does Provigil stabilize your mood? I am on it as a Mood Stabilizer for my Depression?,I am on it as a mood stabilzer and to keep me awake and more alert during the day. I don't know if it is an actual mood stabilizer or what 
Birth Control,https://www.drugs.com/answers/lo-loestrin-fe-forgot-white-1403429.html,"I am on Lo Loestrin Fe, forgot one white pill?","Hi, I am taking the Lo Loestrin Fe birth control pills and I forgot to take yesterday's WHITE pill. Today is the last one, and then I am taking the 2 brown ones, tomorrow and the day after. Is that a real risk for me? Can I have normal intercourse or should I use condoms? Should I take yesterday's pill today and today's tomorrow? Or both yesterday's and today's pills today? Thank you very much. "
Birth Control,https://www.drugs.com/answers/wait-week-end-period-start-new-pack-birthcontrol-1346304.html,Can I wait a week from the end of my period to start my new pack of birthcontrol?,"I'm currently on my period and do not want to start on my new back of birth control due to the fact that I do not want my period the week that I would be getting it if I started my next pack as soon as I finish my sugar pills. Can I wait a week between finishing my sugar pills and starting my new pack without the risk of becoming pregnant during this month? I've heard that you have to wait at least 2 weeks- a month for birth control to take effect, would this be the same as if I wait a week to begin my new pack? If I still run a chance of becoming pregnant, is there any way I can skip my period? The birth control I take is reclipsen, if that helps at all. "
Birth Control,https://www.drugs.com/answers/tri-sprintec-long-breatst-back-normal-678715.html,Tri-Sprintec - How long until my breasts go back to normal?,"I am 15 years old and was taking birth control for a year. Never had a problem with big boobs, was always really skinny. Being on it for a year, I went up to a DDD, and changed my diet which shrunk my boobs down to about a B. But my boobs seem larger than that, and are swollen. I stopped taking it three days ago, my acne's been clearing up, but how long until the swollen boobs go away and I have small ones again? I want small boobs! "
Birth Control,https://www.drugs.com/answers/tri-previfem-generic-medication-trinessa-960211.html,Is tri-previfem a generic medication for trinessa?,
Birth Control,https://www.drugs.com/answers/white-pills-period-red-848250.html,"Do I need to take white pills when I am not having my period, and take the red ones when I am?","I am now having my period, but I have not started taking the red pills. I am wondering is it ok to take the pills in sequence no matter when the period come. "
Birth Control,https://www.drugs.com/answers/unprotected-sex-night-birth-control-plan-828222.html,I had unprotected sex last night... I am on birth control.. should I take plan b anyway?,I am on a form of loestrin 24 bec they don't make loestrin anymore... and I've been taking my pill but not at the same time everyday leading up to last night when I had sex. I'm suppose to take it at 7pm every night but recently I've been forgetting and have been taking it the next morning and then taking my scheduled pill for that day at night. Is this a problem? should i take plan b? I've been on birth control for a lonnggg time so I was thinking that I'm probably safe but I wasn't sure... also ... I start the blank pills on Wednesday and I should get my period... hopefully! please help ! 
Birth Control,https://www.drugs.com/answers/mirena-iud-month-started-first-period-weeks-1089218.html,I have been on mirena iud for about a month now and started my first period on it about two weeks?,... ago. I am currently still bleeding and experiences mild cramps. Is this normal? Should I be worried that my mirena has fallen out or moved? I have been having unprotected sex and worry about getting pregnant especially since I've been on this birth control for such a short time. 
Bleeding Disorder,https://www.drugs.com/answers/has-anyone-take-this-lo-loestrin-fe-over-the-age-429251.html,Has anyone take this Lo Loestrin Fe over the age of 50?,My Nurse practitioner recommended Lo Loestrin due to fibroids and cycle lasting ten days with lite bleeding after day 5 and I'm 51. Not really sure if I wanted to deal with taking a birth control pill after 35 the risk for blood clots are higher for women past 35. 
Birth Control,https://www.drugs.com/answers/pharmacist-changed-birth-control-sprintec-tri-1087284.html,"My pharmacist changed my birth control from sprintec to tri estarylla, how does it effect you?",
Bleeding Disorder,https://www.drugs.com/answers/do-you-have-to-take-sprintec-at-the-exact-time-338441.html,Do you have to take Sprintec at the exact time every day in order for it to be effective ?,and NOT to have break through bleeding? 
