disease,postLink,postHeading,postContent,postTags
Mental Health,https://messageboards.webmd.com/health-conditions/f/mental-health/642/don-t-think-i-am-on-right-antidepression-med,Don't think I am on right antidepression med,"I went to psychiatrist (very known, 21 years of practice) with my son, I dont drive. The doctor was very compassionate to my problems. I have insomnia, anxiety and depression. On first visit he prescribed Trazodone for my insomnia. Waited for 3 days to get antidepressant. He wanted to see what meds to go together with Trazodone. He ordered Lamictal (generic name) and told me to take at bedtime alone with the Trazadone. So whats left for me to take during daytime. I am without a med and depressed during the day. There's something wrong with this picture. I heard about mood stabilizers that work together with antidepressants.  Does he know that I am depressed during the day? The Lamictal I take at bedtime doesn't carry through the next day. If a sleeping pills good, it should carry its own. Should I question him as far as ""what about the day, I have nothing to take for my depression?""  cindigal","Depression , Bipolar Disorder"
Mental Health,https://messageboards.webmd.com/health-conditions/f/mental-health/1247/lack-of-focus,Lack of focus,I am not sure what type of doctor I need to go to for the mental health issues I have been experiencing for many years but have been to embarrassed to go to see someone about them. I started my dream job and am now afraid I will lose it because of my lack of focus and not being able to sit still and am exhausted. I have been like this for years even in high school but I guess never wanted to think something was wrong with me. Any advice if I can go to just my regular doctor or is there someone else I should be going to see? I do not want to lose my great job because of my lack of focus.,
Mental Health,https://messageboards.webmd.com/health-conditions/f/mental-health/1219/medication-change,medication change,I used to be on venlafaxine. then the doctor put on wellbutrin plus the venlafaxine. I'm wide awake been up for 24 hours and still not tired. Does anyone else have this problem.,Depression
Pain Management,https://messageboards.webmd.com/health-conditions/f/pain-management/21235/understanding-mri,Understanding MRI,"I've been googling moat all day.. But there are still a few things in my MRI review that idk what they mean.. It's all about the L5-S1..""mild degenerative anterior subluxation"" and then ""disc bulding & protrusion with posterior protrusion, diffuse bulging"". Ok so what on earth does that mean?","Chronic Pain , Hip Pain , Back Pain"
Pain Management,https://messageboards.webmd.com/health-conditions/f/pain-management/21236/help,Help,"I also have a couple issues I was hoping someone could help me understand and put a name to... First off the muscles running along both sides of my spine are always incredibly tight, I have been told that I have a vertebrae that twists left and right and sometimes my ribs dislocate there as well.. Is there a name for this? And my hip sometimes seems to pop out of place (I assume its related to my sacroiliac joint) is that normal?","Chronic Pain , Hip Pain , Back Pain"
Pain Management,https://messageboards.webmd.com/health-conditions/f/pain-management/21291/urgent-i-drank-2-strong-antibiotics-instead-of-1,Urgent : I drank 2 strong antibiotics instead of 1,So i was feeling really nauseous and didn't know i was doing and i drank 2 ospen k film covered antibiotics which contain 981g of fenoxmetilpencilin pottasium.What should i do im not feeling any side-effects yet?,"Headaches , Neck Pain"
Pain Management,https://messageboards.webmd.com/health-conditions/f/pain-management/21397/weakness-pain-blood-test-normal,"Weakness , pain , blood test normal","Hi there ! I'm new here trying to find out why should i suffering pain so many years. I'm tired of going to doctors, sorry if my english is not good.So if you can help me i would be appreciated. I'm male 30 years old 45kg ! It's about 10 years i have pain in my chests , muscles , knees , fingers... sometimes everythings get better but most if the times i have them. Also most times i have no energy to do anything so weakness i have , its so much hard for me to go to my job.i'm a developer and know doing my phd in Information technology. I think i am depressed because i don't feel goid and i feel i have no desire and nothing make me happy... Since 10 years ago i've gone to alot of doctors and i did a lot of bloot test because if my weakness and being so slim. There was nothing , about 4 years ago went to a sycological dr and he gave asentra (certraline, elanzapin, paroxetin) And i continued to treatment for 1 years but my ears started to ring ! And never stops also i didnt feel better. For now i dont use any suuplements and medicine, because every doctors say me different thing and give me a lot of medicine, recently one if them said you have gh hormone deficiency and gave me somatropin but another dr said you dont need it because your test is normal. I truely need help because its very very hard to live with this much pain , weakness and depression. I also have my blood test which i attached to post.","Knee Pain , Chronic Pain , Neck Pain , Back Pain"
Pain Management,https://messageboards.webmd.com/health-conditions/f/pain-management/21515/trying-to-find-answers,Trying to find answers,"I have been suffering from abdominal pain for 6 years. It was off and on until I had my daughter 8 months ago. It never goes away, I can't eat, sleep, take care of myself I'm in so much pain all the time. I have been to lots of Drs. I have had allot of test done I had my gullblater taken out. No one can figure out anything b.c all my test come back normal. Nothing I do makes it worse or better it's just agonizing pain that's always their. I have been looking online and found a disorder called CFAP ( Chronic functioning abdominal pain) but not much is known. I just don't know what to do and I'm looking for suggestions and help. Its becoming such a burden","Chronic Pain , Headaches , Medication , Back Pain"
Pain Management,https://messageboards.webmd.com/health-conditions/f/pain-management/21685/arm-pain-on-holiday-getting-worse-wondering-what-it-is,"Arm pain on holiday getting worse, wondering what it is?","So around 2 months ago I woke up from a lot of pain, and for half the day I couldn't move as my entire arm was in so much pain, since then I have had on and off pain with my arm when I do art too long or game. So I figured it was Carpal and that I would check it after my holiday, as I left it for awhile (Yes I know I'm stupid). So I have been in Canada for around a month, I have 2 more weeks left but my arm has suddenly gotten worse, usually when it starts getting bad I leave it alone for a bit and then It's fine but I guess not this time. Three days straight now I have had really bad weakness in my hand, I avoid closing it or using it for anything as the pain hurts even if I grip a fork, It turns red every now and then when it gets worse. So just to sum things up  - Hand turns red sometimes when its in pain - Bad weakness in entire hand - Sharp pain in arm / hand  I think that's pretty much everything.",
Pain Management,https://messageboards.webmd.com/health-conditions/f/pain-management/22118/fecal-impaction---how-to-get-regular-bm-back-after-surgery,Fecal impaction - how to get regular BM back after surgery,"So I was on anti-biotics for a very long time (4-6 weeks) and since then I have been having terrible irregular bowel movements. I have been staying hydrated and intaking fiber regularly. Yesterday I took some stool softeners as well, which just seemed to make it more impacted. How do I fix this problem for good, and make sure it does not happen again?","Chronic Pain , Medication"
