disease,postLink,postHeading,postContent
Blood Disorders,https://www.drugs.com/answers/my-son-takes-5mg-of-citalopram-and-has-461405.html,Citalopram - can this cause a burning sensation in the penis and blood in the urine?,My son takes 5mg of Citalopram and has periodically complained of burning sensation in his penis. He has had one episode of blood in his urine. After a full battery of blood work via the emergency room they told us he was fine. Is there any studies or evidence to link his use of Citalopram to his discomfort in his private parts? 
Blood Disorders,https://www.drugs.com/answers/i-have-been-fighting-with-my-doctor-over-taking-456592.html,I have been fighting with my doctor over taking blood pressure medications?,"My doctor at Scripps has been trying to get me to take blood pressure medications for a year now. At one point his nurse actually told me that they didn't want to see me again if I didn't take medication. My blood pressure when they take it at Scripps is around 130/90. When I went in for eye lid surgery a few months ago at a different medical group my blood pressure during surgery was reported as114/76. When I check it at drug stores and other places it is never over 120/80. When I check it at home it is usually below 120/80. I use an OMRON HEM-775 machine at home and just checked it: 118/79 Could it be that the nurses and doctors at Scripps do not know how to take blood pressure or they are trying to get everone over 55 to take blood pressure medications? And I wonder if Scripps is trying to get as many patients on blood pressure medications as possible to create a large control group that can be studied in the future? I certainly don't want a stroke or heart attack, but on the other hand I don't want to be on medications that I don't need. At what point should I take blood pressure medications? "
Blood Disorders,https://www.drugs.com/answers/does-niacin-effect-psa-readings-in-mens-blood-441547.html,Does Niacin effect PSA readings in men's blood tests ?,
Blood Disorders,https://www.drugs.com/answers/i-find-blood-on-my-toilet-paper-after-a-bowel-359389.html,I find blood on my toilet paper after a bowel movement. It's not very much but should I worry?,"I Think it may be a tear in some tissue, I also had Hodgkin's lymphoma, I'm in remission now, is there a change the cancer spread? "
Blood Disorders,https://www.drugs.com/answers/iron-deficiency-anemia-what-does-3-pints-low-mean-358331.html,Iron Deficiency Anemia - What does 3 pints low mean?,I received a call from doctor's office yesterday telling me I am anemic and 3 pints low. What does 3 pints low mean? Does it mean I have lost 3 pints of blood? 
Depression,https://www.drugs.com/answers/sertraline-caused-hair-loss-3323216.html,Sertraline has caused hair loss?,Has anybody had the side effect of hair loss with St John's Wort? I've been on Sertraline for moderate depression (circumstantial) and the hairbrush is always full of hair and my hair is definitely thinning since I've been on it. I'm thinking of trying St John's Wort. Thanks L  
Blood Disorders,https://www.drugs.com/answers/does-januvia-tend-to-raise-blood-pressure-471000.html,Does Januvia tend to raise blood pressure?,
Depression,https://www.drugs.com/answers/wean-cymbalta-lexapro-stop-cymbalta-start-lexapro-3322467.html,"Do I have to wean off Cymbalta to get on Lexapro, or can I just stop cymbalta and start Lexapro?",I have been on Cymbalta 60mg for several years. It's starting not to help anymore with depression. Someone suggested I switch to Lexapro but I tried to wean off the Cymbalta and have terrible brain zaps and dizziness with panic attacks so I'm still on it. I wasn't told about the terrible withdraw from this or I never would have started taking it. I really want something else. Any help would be appreciated. 
Depression,https://www.drugs.com/answers/sertraline-making-feel-sick-lose-appetite-3271272.html,Sertraline making me feel sick and lose my appetite?,I'm 20 and am now in my fourth day of sertraline 50mg. I am feeling very nauseous and my appetite is completely gone. I am very slim as it is and am always told I could do with gaining a few pounds so I can't really afford for my appetite to be gone. How long do these side effects last? Thank you 
Depression,https://www.drugs.com/answers/taking-effexor-xr-37-5mg-every-day-over-15-years-3223036.html,I have been taking Effexor XR 37.5mg every other day for over 15 years. There was no therapeutic?,"... effect anymore, I was just on it to avoid the horrible withdrawals. I finally decided I wanted off of the Effexor so I went to the psychiatrist to discuss weaning off, but due to my current life situation, my doc decided to up my dose to 75 mg every day. I am now tired, nauseous and just generally feel like crap (along with the depression I was already dealing with). I fear I've made a terrible decision and maybe should have just gotten off this poison and tried dealing with life's problems without meds. Has anyone else dealt with this? Any advice would be greatly appreciated. Thank you "
Blood Disorders,https://www.drugs.com/answers/can-pepcid-make-your-eyes-and-skin-very-dry-439964.html,Can pepcid make your eyes and skin very dry?,"I have severe dry eyes, my nose, mouth and skin are also dry. I have been taking pepcid for a long time. I don't remember when i started taking it. I have had blood tests for autoimmune disorders and they were all negative. This is the only acid reducing medicine i can take because im allergic to all others. Can the pepcid be causing all this dryness? "
Blood Disorders,https://www.drugs.com/answers/does-procrit-contain-any-blood-fractions-422420.html,Does Procrit contain any blood fractions?,
Blood Disorders,https://www.drugs.com/answers/does-bumex-lower-blood-pressure-418943.html,Does bumex lower blood pressure?,
Diarrhea,https://www.drugs.com/answers/would-any-type-of-drugs-make-you-poop-yourself-182488.html,"Would any type of drugs make you ""poop"" yourself? And if yes what ones?",
Diarrhea,https://www.drugs.com/answers/is-there-anything-that-can-lessen-the-side-153099.html,Is there anything that can lessen the side effects of diarrhea from Gleevec? Not room for?,"My mom is taking the medicine called gleevec for gastrointestinal stromal tumors. This is the second time around with the drug. The first time she had her tumor removed and it stayed away with the gleevec for five years. A few little tumors came back, (if they ever were completely gone) a few months ago and she's taking it again with a major side effect of diarrhea. Is there anything she can take safely that could help her side effect? "
Diarrhea,https://www.drugs.com/answers/birth-control-effectiveness-diarrhea-3434548.html,Birth Control Pill Effectiveness//Diarrhea?,"In July, I was recently diagnosed with IIH and have been prescribed Diamox to lower the amount of spinal fluid I produce. I recently have developed chronic diarrhea (it’s pretty bad, 3-6 times a day) as a side effect to the new medicine. The diarrhea started on August 1st. I had sex about 1 week after. I am absolutely unable to get off of the Diamox, so I was wondering how it would effect my birth control pill absorbing. I’m quite worried because my doctors assured me that I would be fine. I’ve been taking Sprintec for 3 years and never had an issue otherwise. I have a doctors appointment again tomorrow, but I’m not sure if they will be able to come up with a resolution. If anyone knows anything, leaving a comment would be appreciated. "
Blood Disorders,https://www.drugs.com/answers/azithromycin-low-blood-sugar-530068.html,Does azithromycin cause low blood sugar?,
