disease,postLink,postHeading,postContent

Palsy - Non Cerebral,https://patient.info/forums/discuss/bell-s-palsy-day-10-and-still-a-struggle-age-40-646588,Bell's palsy day 10 and still a struggle age 40,"I'm 40 yrs old and I was diagnosed officially 9 days ago however my symptoms started 10 days ago with the worst ear pain I ever had and numb tongue. I have paralysis on my right side of my face. I've done acupuncture since I was diagnosed , steroids,  steroid injections and antiviral drugs, not to mention vitamin c ivs w/ b12 in them. I'm starting to feel my rt side but it aches. And my eye is the real issue. It drains all the time. And my faith is failing I'm so tired I can't get any real rest. I drool everywhere. God please tell me the end is near. 0 likes, 11 replies "
Palsy - Non Cerebral,https://patient.info/forums/discuss/loss-of-taste-and-sense-of-smell-again--662244,Loss of taste and sense of smell again.......,"I have been managing the effects of facial palsy for over a year now. Initially I lost my sense of taste early on, but then it gradually returned. Since March though , I have lost most of my sense of taste and now smell too. Has anyone else experienced this yo yoing of senses? Does it come back? my GP has referred me to ENT for further checks and my FP physio has suggested I should have a contrast MRI of nerves in my head to check out any other more serious problems. I am grateful that it’s being checked , but wanted to hear any advice / feedback from fellow sufferers. its all a bit frustrating, but it seems the recovery goes like that!!  0 likes, 4 replies "
Palsy - Non Cerebral,https://patient.info/forums/discuss/having-bell-palsy-612178,Having Bell Palsy,"Hello, When I was diagnosed with Bell palsy I completely fell apart. I had been stressed out for a month dealing with class, work, fulfilling the requirements of my scholarship and rehearsing for a show that I was in. I was told that it was something that can go away in a week or last for 3-6 months, and time was not in my favor. As the weeks drew on i found myself getting more and more depressed. I felt helpless and rarely found any comfort in looking at support forums. But after 2 months I found a bit of movement returning. I surrounded myself with comfort and support from friends and family, and ate healthy. Day by day i found myself regaining more and more movement and I was finally finding a light at the end of this horrid tunnel. By 3 months i was able to smile, and i found myself mostly recovered at 5 months. It was the hardest months of my entire life but I learned a lot about myself, and learned what was most important to me, and who cared for me. I'm here to say it will be a long journey but you WILL get better. You are NOT alone, and you WILL be able to smile again. I hope for the best to those of you who were recently diagnosed, and wish for a speedy recovery. I hope my words were able to offer you some comfort. Thanks  1 like, 3 replies "
Palsy - Non Cerebral,https://patient.info/forums/discuss/bell-s-palsy-9-weeks-no-recovery-535939,Bell's palsy 9 weeks no recovery,"I was diagnosed with Bell's palsy 9 weeks ago, following an ear infection, I was given steroids from the onset, referred to physio, which I'm still waiting for, I have been doing exercises daily, I went to the hospital yesterday for a check up and was very bluntly told by the doctor, that he thinks, because I've shown no signs of improvement, that it will be permanent. After breaking down, my husband stepped in and started questioning the doctor, and to be honest he had absolutely no answers. Is there any one else who is in the same position as me? I am really struggling at the moment to see a light at the end of the tunnel 0 likes, 21 replies "
Palsy - Non Cerebral,https://patient.info/forums/discuss/i-ve-been-suffering-bells-palsy-in-six-years-am-i-recovered-or-not-anymore--668834,"I've been suffering bells palsy in six years,am I recovered or not anymore?","I'm fully disappointed of my situation because it's very long time for suffering bells palsy,and idont have any idea if I am recover from this sickness or not because it's been six years already.even the doctors they didn't say anything,I want only to know if is it my conditions recovered? 0 likes, 4 replies "
Palsy - Non Cerebral,https://patient.info/forums/discuss/any-advice-regarding-synkinesis-664268,Any advice regarding synkinesis,"I am now exactly 5 month, Regained almost everything, eyebrows only needs a little to line up. But, I got synkinesis, when I eat or smile, my eye closes and tissue around mouth is ticker. Any advise what to do because in my country they do not know what to do. Does anyone know what that method neuromuscular retraining from the Crustal Touch Clinic. Than you! 0 likes, 3 replies "
Palsy - Non Cerebral,https://patient.info/forums/discuss/bell-s-palsy-the-mysterious-syndrome-you-need-to-know-about-680709,Bell’s Palsy: The Mysterious Syndrome You Need To Know About,"/ 0 likes, 2 replies "
Palsy - Non Cerebral,https://patient.info/forums/discuss/bells-palsy-3rd-time-683282,Bells Palsy 3rd Time,"So I'm sitting in the doctors office waiting for my diagnosis of Bells Palsy for the 3rd time since 2013. Ive had headaches for the last few days and awoke with a dent in my chin this morning. By lunchtime my lips were tingling and moving on their own everytime I blink. Lips feeling swollen, cheeks tingly and generally just a bit disconnected at the moment. Doctor says to wait until my face actually shows physical signs of palsy before I take the prednisone. Do I wait like she says or take it before symptoms progress? So grateful for this group to talk too. Juliette 0 likes, 3 replies "
Palsy - Non Cerebral,https://patient.info/forums/discuss/can-cymbalta-cause-facial-weakness--682074,Can Cymbalta cause facial weakness?,"I have unexplained facial  . My smile is crooked and I can't swish water in my mouth when I brush my teeth.  I took Cymbalta for a few years but am off it now. Does anyone know if Cymbalta could have caused this? MRI of my brain. was normal. 0 likes, 4 replies "
