disease,postLink,postHeading,postContent
Cystoscopy,https://patient.info/forums/discuss/cystoscopy-650434,Cystoscopy,"I had a cystoscopy yesterday. I was very nervous when I was told by my doctor to undergo the procedure. I quite remember in 2004  I had a similar one but was put to sleep so when the Doctor told me it will be performed with my eyes on, I was a little bit skeptical. Got in the clinic with this fear built in mind but the fear disappeared when the nurse injected me with a medicine to numb my penis. The doctor then used a tiny camera and inserted it in my penis and pushed it slowly to my bladder and other parts. The only discomfort I felt was when it hit my prostate. The experience was not difficult as I envisaged. Technology has developed to extend that things that were difficult to do of late as become easy to cope by. 1 like, 3 replies "
Pulmonary Fibrosis,https://patient.info/forums/discuss/this-horrible-disease-637392,this horrible disease,"This is a horrible, debilitating, excruciating illness to have to go through.  I watched a loved one suffer and eventually end life because there is no cure or no hope...everything that they do is only temporary.........there are so many complications with this disease that it is really unbearable............the person was diagnosed 10 years ago...for 1 or 1 1/2 years they needed oxygen...then for some reason it went into remission...then it appeared after 10 years...the person was 90 years old; but other than that in fairly good health...it started first with oxygen, then they became weaker and weaker....getting off the bed was too much...going down for a meal was impossible...then came vertigo, nausea, extreme fatigue and an accompanying cough that would let up...laboured breathing.............eventually the person became bedridden although they had 99% of their faculties operating normally then it was downhill from there; watching this play out in front of your eyes is excruciating...no cure...no solution...horrible   0 likes, 3 replies "
Pulmonary Fibrosis,https://patient.info/forums/discuss/pulmonary-fibrosis-640299,Pulmonary Fibrosis,"Hi I was diagnosed with pulmonary fibrosis 2 years ago but have had the symptoms I feel for longer. I have recently had a lung xray due to poor health which revealed  that my fibrosis had got worse, apparently there is a new medication that can only be prescribed by a doctor from the local respiratory team, but how long is the wait on NHS or Private, my doctor not pulling any punches suggests that I will be in a bad way in 10 years ???. 0 likes, 12 replies "
Pulmonary Fibrosis,https://patient.info/forums/discuss/tina-street-640436,Tina Street,"I was diagnosed with ipf 6 years ago and I want to know if anyone can enlighten me to the symptoms of the end stages im on no medication and have been through numerous chest infections fatigue depression the whole works really but of late cant seem to shake infections off and coughing has fractured my ribs and burst blood vessels in my eye. The last few weeks ive had a horrific pain in my  left and right side coming around to my front underneath my ribs its so bad I scream in the night when i try to turn over i take morphine but doesn't help much so any advise would be very welcome. Xxxc 0 likes, 5 replies "
Pulmonary Fibrosis,https://patient.info/forums/discuss/how-do-you-get-diagnosed-with-ipf--635670,How do you get diagnosed with IPF?,"Hi, I am a 25yo girl. A week ago, I started having cough with very thick phlegm that's hard to expel and also shortness of breath. I went to the ER and they had me done the chest x-Ray and they said they saw bronchiectasis in both my lungs and asked me to see a lung specialist. And so I did. The pulmonologist suggested me to do a CT-Scan and the result says I have IPF with bronchiectasis in both lungs.  Are these tests reliable enough to prove that I have IPF? at the age of 25? I am still in disbelief.. Thank you 0 likes, 5 replies "
Pulmonary Fibrosis,https://patient.info/forums/discuss/esbriet-655018,ESBRIET,"Has anyone with IPF had bad depression on Esbriet? I had to discontinue Ofev & have been on Esbriet for 3 months. The depression is terrible and so I had to lower the dose! This worrries me. Anyone else have this problem? God Bless You All! 0 likes, 4 replies "
Pulmonary Fibrosis,https://patient.info/forums/discuss/pulmonary-fibriosis-611841,Pulmonary  Fibriosis,"Hi All, I had shortness of breadth and dry cough and visited a pulmonologist. Took a syprometry and CT SCAN based on his suggestion and syprometry test came clean and the CT SCAN was also  fine except for the mention  of ""Fibrotic bands in lower lobe and lingula"" I'm totally worried if this is pulmonary fibrosis. Will be meeting the dotor next week but I'm extremely scared on account of such mention and totally depressed by what is available on the net. Any suggestions or advice will be extremely helpful 0 likes, 6 replies "
Pulmonary Fibrosis,https://patient.info/forums/discuss/recently-diagnosed-with-ipf-647778,Recently diagnosed with IPF,"My father has been diagnosed with ipf and seen a lung doctor. His lung doctor said they can't do anything else and referred him to mayo clinic. Mayo clinic would t take him because we are out of state and they won't bill out of state insurance. We live in southeast Kentucky and are 14 hours from mayo in Minnesota. Does anyone know of a good doctor or clinic we may be able to get him in?  I guess I need recommendations on other doctors maybe closer to us. Any help with this is greatly appreciated  0 likes, 13 replies "
Quetiapine,https://patient.info/forums/discuss/i-took-seroquel-300-mg-for-about-5-years-651436,I took Seroquel 300 mg for about 5 years,"I stopped because of the side effects. It's been about 8 months. Since then, I've lost over 30 lbs. Unintentionally.  Has anyone else had a similar experience? 0 likes, 0 replies "
Quetiapine,https://patient.info/forums/discuss/best-men-s-dress-shoes-657548,Best  Men’s Dress Shoes,"Even today, you can still tell a gentleman by his shoes. Whether deliberate or not, one's choice in leather dress shoes – Oxford, Derby, monk or brogue – can still point the way to a man's character: is he stylish or not? Because quality and aesthetically on-point dress shoes can cover a multitude of fashion. 0 likes, 0 replies "
