disease,postLink,postHeading,postContent
Vaginal Yeast Infection,https://www.drugs.com/answers/finished-monistat-3-day-couple-days-ago-yeast-2979688.html,"Finished Monistat 3, the yeast & swelling gone, but still some itch and creamy discharge -why?","There is some itch here and there on the outside. But, my main question us, why am I having white creamy discharge? There is no smell, so I know it's not BV. As soon as I saw I had a yeast infection I took care of it. I'm just curious on why my vagina is leaking the discharge? My boyfriend and I haven't had sex since finding out about the yeast infection. When can we start?  Thanks in advance! "
Vaginal Yeast Infection,https://www.drugs.com/answers/what-do-i-use-if-itching-still-persists-after-83366.html,What do I use if itching still persists after taking fluconazole?,
Vaginal Yeast Infection,https://www.drugs.com/answers/woke-bathroom-morning-after-taking-monistat-3-2819811.html,When I woke up to use the bathroom this morning after taking monistat 3 for the first time a lot of?,... clumpy discharge came out. Is this the infection or the medicine coming out? Is this supposed to happen? 
Vaginal Yeast Infection,https://www.drugs.com/answers/monistat-1-pee-after-inserting-monistat1-1-ovule-2487487.html,Monistat-1 - Can I pee after inserting monistat1 1 ovule?,When can I urinate after inserting the monistat1 ovule? I don't want it to come out 
Vertigo,https://www.drugs.com/answers/vitamin-day-week-3277095.html,Vitamin D taken once a day instead once a week?,"I was prescribed for 50000 ui once a week, but I took it once a day for a week. I'm thirsty and dizzy... what should I do? Should I go to the emergency room? "
Vaginal Yeast Infection,https://www.drugs.com/answers/anyone-rid-plaque-tongue-specialist-he-told-575581.html,Does anyone know how to get rid of Plaque on the tongue?,I saw a specialist and he told me I have plaque on my tongue .I was treated for thrush but it didn't go away (family doctor).and he sent me to an Infection Specialist who said it was Plaque.I use Biotene right now.I scrape my tongue with a special scraper.I brush at least 3x a day. 
Vaginal Yeast Infection,https://www.drugs.com/answers/vaginal-yeast-infection-insert-ovule-monistat-3-2723933.html,"Vaginal Yeast Infection - If I insert the ovule from monistat 3, will it dissolve? How long will it?",... take to start working? Is the ovule uncomfortable and will I feel it inside me? I'm very curious if it will fall out. Is it only necessary to take it at bedtime? Ive been treated for yeast infection during my pregnancy but I gave birth and inside of me isn't itchy but I'm white stuff are coming out. I want to do something about it before it gets worse. 
Surgery,https://www.drugs.com/answers/miralax-turp-surgery-problems-constipation-2987083.html,MiraLax - I had two Turp surgery and having problems with constipation and urinateing?,"I try Maralax but it would not work for me , I used it for 6 day and it didn't work. Should I have try it longer. Need help when I am having constipation and can not urinate. "
Vertigo,https://www.drugs.com/answers/started-bupropion-wellbutrin-2-1-2-weeks-ago-757772.html,I started Bupropion (Wellbutrin) 2 1/2 weeks ago?,"My question or problem is this... when I have my 2 or 3 cups of coffee in the morning..I start to feel dizzy and shaky for a couple of hours... I know that caffeine has no interaction with Bupropion, but was wondering if anyone else has had this problem. I hate the way I am feeling right now... dizzy and kind of ""spaced out"" hard to describe, but just not right. "
Vaginal Yeast Infection,https://www.drugs.com/answers/monistat-3-pee-suppositorie-falls-538145.html,"Monistat 3 - Can we pee and if we do , what if the suppositorie falls out?",
Acne,https://www.drugs.com/answers/claravis-how-much-does-this-medicine-cost-without-54545.html,Claravis - how much does this medicine cost without insurance?,
Thyroid Disease,https://www.drugs.com/answers/thyroid-removed-worst-happen-808728.html,If I don't have my thyroid removed what is the worst that can happen?,"I am 53 years old and i just recently found out by my doctor that i have an over sized goiter on my thyroid. I went through all the testing and had biopsy that, thank God cancer was ruled out. Due to the size of the goiter my doctor said it was best to have it removed.My thyroid mass is (239.7) the procedure that the E.N.T. doctor of which i was referred too stated my procedure would be: Possible total thyroidectomy and selective neck dissection(60220) (total 60240), Based on these numbers , what does this all mean? Both Doctors agree that i need to have it removed but yet they really haven't explained to me why. A side from that my only complaint by having the goiter is difficulty swallowing but no pain and too many sinus infections. "
Acne,https://www.drugs.com/answers/long-dupixent-work-3320190.html,How long does it really take Dupixent to work?,"I am a 54 yr old African-American female who has severe hand & foot eczema for the past 10 years , I also breakout if i am in the sun (was not born with it ... did not have it as a child). Over the years i have tried everything creams, steroids , phototherapy etc etc..nothing worked. My first dose of Dupixent was July 23rd and every 2 weeks after that. I was expecting to see improvement of my skin and less itching by now, except for the skin not thickening anymore i am still itching like crazy and no clearing of the skin yet. Skin still ugly and itchy... please ... how long does this medication to work? Trying to be patient but does it work for all types of eczema? I only have it on my hands and feet, the rest of my body is clear. Awaiting an answer. Thanks. "
Acne,https://www.drugs.com/answers/does-sprintec-help-breast-growth-306678.html,Does sprintec help breast growth?,i am 15 just started taking sprintec a few days ago my doctor recomended it for my acne and my periods. i have read alot of negative comments saying it causes yeast infections which worries me because i have never had one before.. i want larger breasts and have heard birthcontrol makes them bigger. has anyone had good breast growth on sprintec? also has anyone seen skin clearing? if so how long does it take to see any noticeable changes in boobs and skin? btw i am an a to small b cup 
Acne,https://www.drugs.com/answers/zinc-oxide-good-acne-scar-treatment-632975.html,Zinc oxide is it good for acne scar treatment?,Zinc oxide is it good for acne scar treatment? 
Vaginal Yeast Infection,https://www.drugs.com/answers/completed-full-dosage-cipro-bladder-infection-pain-678264.html,"Completed the full dosage of Cipro for a bladder infection, should I still be in pain?","The bladder infection is accompanied with intense itching inside of my vaginal walls. The doctor said it was probably yeast. She prescribed me Fluconazole (diflucan) for this and I took it immediately, however absolutely none of the itching has subsided. I don't think it's yeast. I took the Cipro for 3 days for the bladder, as directed, and am actually feeling worse now than I did before the meds. I just picked up some AZO to help with the pain, but I'm worried and not sure what to do now. Does anyone have any advice or know why this could be happening? "
Acne,https://www.drugs.com/answers/how-long-before-should-i-stop-taking-doxycycline-459582.html,How long before should I stop taking doxycycline hyclate if I plan to get pregnant?,I have been using doxycycline hyclate for acne and was wondering how long does it stay within my system once I stop taking it? I need to know so that I can plan a safe pregnancy. 
Acne,https://www.drugs.com/answers/implanon-acne-2600484.html,Implanon - did everybody get acne and did it last?,I just got my Implanon inserted 1 week ago I had one day of a period and then it stopped but my face is breaking out really bad and now after reading on this page the other people that broke out I'm worried. Is this something that's going to keep happening or is it just because it's new and I just got it? I used to break out every month when I started my period and then I haven't the whole pregnancy and now my baby is 3 months old I get the Implanon and all of a sudden my face is in so much pain from these lumps under my skin its not little pimple painful acne. 
Acne,https://www.drugs.com/answers/tretinoin-working-715510.html,How do I know if Tretinoin is working for me?,"I began using Tretinoin .025% cream approximately 10 weeks ago when it was prescribed to me by my dermatologist. So far, my skin is continuing to get worse, which is extremely frustrating. Should I continue the use of it? I've heard that by the end of the third month of using this product, results can be seen. I have maybe 50 closed comedones mainly on my forehead, but also on my cheeks and chin. Before starting Tretinoin, my skin only had 2-3 pimples at a time. Also, I began using Doxycyline Hyclate (200 mg a day) about two weeks ago, and I use Clindamycin Phosphate Lotion in the mornings. Nothing seems to be working. Thank you for your help! "
Acne,https://www.drugs.com/answers/doxycycline-anyone-felt-anxiety-feeling-withdrawn-3410728.html,Doxycycline - Has anyone else felt anxiety and feeling withdrawn and irritated from this drug?,I’ve been on Doxycycline for over 3 months now and I have seen a massive improovement in my face but I have suffered from anxiety and I feel often depressed and irritated. Wondering if anybody else has felt the same? Many thanks. 
