disease,postLink,postHeading,postContent
Hypothyroidism,https://patient.info/forums/discuss/burning-stomach-from-synthroid-691631,Burning stomach from synthroid,"I'm dealing with gastritis and reflux and since my stomach is so sensitive I noticed that every time after taking my synthroid it starts to burn my stomach, has anyone dealed with this? Should I take it with some food, anyone taking it that way and it's still absorbed properly? Thank you 0 likes, 10 replies "
Hypothyroidism,https://patient.info/forums/discuss/anyone-been-overmedicated--297215,anyone been overmedicated?,"I Was wondering if anyone had experienced being ivovermedicated and what were your symptoms? I've been going through hell the last month with extreme   and tiredness feeling dizzy/lightheaded random pains in head and eyes, and now I've  had it confirmed I've been taking 25mcg to much, anyone experienced something similar I've felt like I've been going out of my mind x 2 likes, 121 replies "
Hypothyroidism,https://patient.info/forums/discuss/allergic-to-synthetic-thyroid--692321,"Allergic to synthetic thyroid, ","I WAS ONE OF THOSE WITH A 50% chance of thyroid cancer, so out went my thyroid.  its literally been the hardest year of my life.  i am allergic to the synthedic thyroid meds. in tablet or gel form.  My endocrinologist said that my symptons were not sue to the medication and to consult with the primary.  so this is what we found and were able to clinically prove . labored breathing.  my lungs were not taking in sufficient air . rheumatoid like swelling on my joints, unable to make a fist or hold anything severe knee  joint pains, unable to stand or walk. without a walker the moment I stop taking the synthetic medication and started ARMOUR (NATURAL DESSICATED THYROID ).  I took a full breath of air.  the breathing relief was immediate!  and my joints are almost back to normal.  My ENDOCRINOLOGIST REFUSED to believe me.  i later found out that most endos get big reseach money from pharma.   this is why they dismiss the NATURAL. If clinicians are not reporting  the patients concerns then how can pharma improve their product?  Perhaps there is no interest in improving. 1 like, 6 replies "
Hypothyroidism,https://patient.info/forums/discuss/taking-statins-due-to-high-cholesterol-caused-by-thyroid-692433,Taking statins due to high cholesterol caused by thyroid,"Hi I've just been put on statins due to high cholesterol . Was told it was because of my under active thyroid . I'm reluctant to take them as I've heard you get muscle damage please could anyone put my mind at ease if you also have under active thyroid and are on statins Thanks 0 likes, 2 replies "
Hypothyroidism,https://patient.info/forums/discuss/-connection-with-exercise-and-thyroxine--692533,? connection with exercise and thyroxine.,"has anyone noticed that if they do regular exercise ( i go everyday to the gym for 30/40 mins and i believe that because i am doing this the amount of thyroxine 100mg dailyis now not enough  ? 0 likes, 1 reply "
Hypothyroidism,https://patient.info/forums/discuss/neck-pressure-and-thyroid-symptoms-but-labs-normal-283992,neck pressure and thyroid symptoms but labs normal,"I visited the doctors 4 weeks ago with neck pressure, at the time only left sided. It feels like someone is pushing on the side of my neck. This is now happening to both sides of my neck. If i press on the area of discomfortt it makes the pressure worse. My GP ordered bloods for thyroid function which all came back normal. He also requested a scan which I am still awaiting an appointment for. I have also had an almost constant headache in my forehead for nearly 5 weeks that is controllable with painkillers. Over the last 2 or 3 years I have visited my GP surgery for:  palpitations - bloods, ecg, echo all came back normal nail ridges - tested for anameia, normal but odd results, one at top range, other bottom, GP requested more tests, all came back normal Stomach bloating and weight gain - all tests normal The weight gain could be that I quit smoking (<5 a day) 4 years ago. The bloating I put down to IBS in the end. The nail ridges still there. Both my big toe nails actually broke in half last year. Only things I could think to blame were my vegetarian diet and nail dryness. All the above, I read, fits with hypothyroidism. Feeling frustrated that all my results always come back normal and feel like I'm constantly wasting both mine and the NHS's time. Has anyone else experienced this, or does anyone else have any idea of other causes?  My GP has said if the neck pressure continues (this comes and goes btw) to go back in a week or 2 and he will refer me to a specialist but I can't help but think that again everything will be normal and I may as well just accept that I'm 40 in a couple of weeks and perhaps this is just how it feels to be middle aged.  0 likes, 26 replies "
Hypertension,https://patient.info/forums/discuss/50mg-losartan--686923,50MG Losartan ?,"So I went back to my GP two weeks ago, and he raised my Losartan from 25MG to 50MG, I have been taking my BP readings morning and evening and it is averaging around 130/91 It seems to me as though it should be lower than that with the higher dose. How long should it be before I see the effects of it coming down, or should I go back to my GP and talk to him about it? It seems my   has continued throughout, not sure if that is a side effect of Losartan in general. I was taking Lisinopril before I started the Losartan 25MG, but I got the coughand decided I'd rather do something different. I just want to feel better. Anyone have any insights? 0 likes, 17 replies "
Hypertension,https://patient.info/forums/discuss/bp-problems-and-still-feeling-terrible-690091,BP problems and still feeling terrible,"Can you tell me what is going on? 11 days ago my BP was 106/68 and now it's 150/101 I am normally with  BP meds  122/76. So concern and still feeling terrible I visited  ER last night. 4 hours later and DR found nothing wrong and for me to monitor BP. BP in ER never fell below 144/88 0 likes, 8 replies "
Hypertension,https://patient.info/forums/discuss/losartan-690807,Losartan,"**Hey, all. Thanks for all the support. I will keep it short and sweet. Male: 31 Last reading taken with wrist monitor is: 125/88 (Just ate ~1 hour ago) Taking: Losartan 25MG Once a day, normally 10am. Hey, again. So been taking this for over a solid 2 months just about. Last few weeks, which I thought was maybe either adjusting or my neck (I have 2 herniated disc) and sometimes when I wake up in morning I have this neck pain that transfer to my head. I've been feeling a bit off/foggy/head ache that last all day for the most part or pressure in the back of the head, just a random feeling that 'something is there.' Rather annoying. I just feel off balanced and sometimes a little leaf cheek feels 'fat' or so. Maybe it can be a sinus infection or a dental problem? Recently had some dental work done about 2 weeks ago, so not too sure. I was thinking about going back to my doctor and swapping meds, as maybe this just does not agree with me. 1 like, 6 replies "
Hypertension,https://patient.info/forums/discuss/blood-pressure-691013,Blood pressure,"How can i bring my bp down ""right now""?  174 over 91 0 likes, 2 replies "
