disease,postLink,postHeading,postContent,postTags
Kidney Disorders,https://messageboards.webmd.com/health-conditions/f/kidney-disorders/4954/doctor-is-recommending-removal-of-my-kidney,Doctor is recommending removal of my kidney,"And I want to get as many opinions as I can before committing to this. A solid, fibrosis mass showed up on a CT scan. I had the biopsy a cpl weeks ago, but my urologist had to send the samples out to another lab for more testing. Anyway, was looking for some feedback on the biopsy results so far. Should I type out the biopsy results or scan the paperwork?  Thanks in advance.",Kidney Disease
Kidney Disorders,https://messageboards.webmd.com/health-conditions/f/kidney-disorders/4977/ketosis-rhabdo,Ketosis & Rhabdo,"Not sure if this is the correct message board for this or not. I have a history of rhabdomyolysis (2 episodes, 10 months apart), cause unknown. I've recently started the keto diet and have been noticing a few changes (including intermittent pain on L side of lower back, oily film on water after BM). After doing a little research, I've seen mentions of ketosis and rhabdo together, but nothing really substantial. Can the keto diet cause another episode of rhabdo? Should I be worried? *not experiencing any symptoms similar to those I had while in rhabdo",Kidney Failure
HIV/AIDS,https://messageboards.webmd.com/health-conditions/f/hiv-aids/33118/how-you-can-t-get-hiv,How you can't get HIV,"You can’t get HIV by shaking hands or hugging a person who has HIV. You also can’t get HIV from contact with objects such as dishes, toilet seats, or doorknobs used by a person with HIV. HIV does not spread through the air or through mosquito, tick, or other insect bites.","Risk Factors , Living & Managing , Possible Exposure , Symptoms , Treatment , Diagnosis"
HIV/AIDS,https://messageboards.webmd.com/health-conditions/f/hiv-aids/19108/poked-by-needle-stressing-ever-since,Poked by needle. Stressing ever since.,"Sometime in June I was poked by a fresh heroin needle in my mid shin area deep enough to draw blood it was a insulin type needle. I'm worried that I may have contracted HIV through this I took a Oraquick Test at around 4 weeks it was negative and I don't have major symptoms such as fever, night sweats,swollen loses or rashes but I have had a small cough headaches and back pain I'm just wondering if I should be worried or if I'm just over thinking and how accurate was the negative result","Possible Exposure , Symptoms , Home Testing Kits"
HIV/AIDS,https://messageboards.webmd.com/health-conditions/f/hiv-aids/19668/help-me-i-d-these-hiv-stds,Help me I'd these HIV/stds,Diff occasions last 3-4 years please dont pass judgement and If u have idea specifics they aren't from having sex.  I had came in contact with some others piss that went up my nose leaving a small pea size herpe burn that was real sore red o. Year later believe I friend had left her aquafina ChapStick over.weeks after I had uses it looks like maybe lipstick had been on it I noticed a slight burning around the lip area. I had came in contact with more piss Inhalants and broke out with parasite meningitis. My lungs had filled up with white fluid backing up the esophagus maybe 8-12 oz over night and for 2-3 months I had hair like parasites coming back up my throat. Waking up with Luigi's full of hair like stuff. And tested positive at doctor I think herpes. Visited a river and mouth area burned again believe I picked up abreva or a herpes ChapStick medicine. Year later more piss Inhalants or spit and my throat had condom suffocation. I was close to visiting hospital but didnt. Another I believe I had poisoned pizza (syphillis) the suspect and the chin area busted out like bad acne buckshot after eating the pizza. I guess exterior Infection. Another bad piss inhalant this time my lips/mouth got warm stitches and left a genital wart on my lip side. Now 3 times 2-4 month spread I've had these popping back up. I'm somewhat in an abusive correctional facility or under abusive authority.,
HIV/AIDS,https://messageboards.webmd.com/health-conditions/f/hiv-aids/19688/still-paranoid,Still paranoid !,Started having unprotected sex with guy in late march early April. Took 4 generation blood test for hiv in late July. Came back negative. Are these results conclusive ?,
Kidney Disorders,https://messageboards.webmd.com/health-conditions/f/kidney-disorders/2772/i-m-in-rockland-county-nys-on-dialysis,"I'm in Rockland County, NYS on Dialysis",Anyone else in the Hudson Vally with Kidney Failure?,"Dialysis , Kidney Failure , Kidney Disease"
HIV/AIDS,https://messageboards.webmd.com/health-conditions/f/hiv-aids/13436/i-am-loosing-my-mind,I am loosing my mind.,"Gail,This is Somen from Bangladesh.16th july I had protected oral and protected vaginal sex with a low end csw.The sex lasted 20-25 second.From 6 days still today I am running low grade fever maximum 99.2.I have also slight sore throat not severe.Now I am very scared.What should I do now?Does it sound like ARS?",
HIV/AIDS,https://messageboards.webmd.com/health-conditions/f/hiv-aids/19311/little-nervous,Little nervous,"I am a 24 year old female and up until a week ago, I have only been with two men sexually. Yes, only had sex twice. First time we used protection, which was around three years ago.  Anyway, a week ago I met up with a friend I have known for a year. We have talked, sexted etc. I have asked him many times on his health, to which he always answered that he was 100 percent disease free. When we met up, we had unprotected sex. No oral, no anal...just unprotected vaginal sex. He pulled out, and afterwards I texted him again asking about him being sure about being healthy. He responded again that he promised he was healthy. I was not on birth control, so the next morning I visited my doctor and received Plan B to be sure of no pregnancy. I scheduled an appointment for an IUD, pap smear and STI test.  My question is, am I possibly overreacting a bit when it comes to HIV? There is literally no reason to be nervous, but yet I am. He appeared healthy, and I don't see him lying to me for over a year on his health, however I know HIV and other STD's don't always show symptoms. He is not a drug user, or bisexual. Nor am I.",
HIV/AIDS,https://messageboards.webmd.com/health-conditions/f/hiv-aids/19477/are-these-ars-symptoms,Are these ARS Symptoms?,"Hello. About 2 months ago I had protected anal sex with a man and I performed fellatio, which resulted in semen getting onto my face and a tiny bit on my lip. I washed all areas of contact a few minutes later with soap and warm water. Four days ago at noon, I developed a fever with a high of 38.8 C as well as a stuffed nose.  After taking some flu medication my fever went away overnight, however I developed a sore throat the next day as well as congestion with wet stools.  I woke up to find my clothes wet with night sweats. It was bearable however and so I only took a single flu pill in the morning. Yesterday I woke up to night sweats again and found it very hard to swallow, so I had a check-up done. The doctor recommended confinement in the hospital, but allowed me to be treated at home provided I did not develop a fever. I was told that I had a weakened immune system and that I had developed a viral and bacterial infection and was possibly at risk for dehydration, but other than my sore throat I felt fine. Today I woke up to find my clothes wet by night sweats again, but nothing else. Are these early signs of an HIV infection? And would I be recommended to get tested?",
