disease,postLink,postHeading,postContent
Vomiting,https://www.drugs.com/answers/adco-contromet-tablet-safe-early-stage-pregnancy-807602.html,Is adco-contromet tablet safe to use for an early stage of pregnancy for nausea and vomiting?,
Vomiting,https://www.drugs.com/answers/nausea-vomiting-common-taking-flagyl-615944.html,Is nausea and vomiting common when taking flagyl?,
Opiate Dependence,https://www.drugs.com/answers/can-i-use-2-3mg-of-suboxone-day-for-3-4days-to-491977.html,Can I use 2-3mg of suboxone/day for 3-4days to help with opiate withdrawl?,"I've been thru rehab, outpatient, believe in god and am familiar with 12step programs. I have read so many different things online lately & thank god for that or I would probably be telling you right now how I'm on 1000mg of suboxone(exaggeration) because I wanted a 'pain free, no withdrawl miracle drug'. Please realize that I am not discrediting suboxone-I know how helpful it has been to so many people. I do admit to being somewhat of a cynic though due to my own experiences which include kicking hydrocodone, oxy, morphine, heroin and worst of all methadone(cold turkey after being on it for 2yrs straight- did wean down to 20mg before jumping off). I know I am NOT a dr by any means. I have worked in the medical field off & on for the last 14yrs(my whole adult life~I'm a 32yr old female). I just need a little something besides clonidine and seroquel(for sleep/agitation-both previously prescribed to me) to help ease the worst of the withdrawls & was curious to know if anyone had used or heard of someone using suboxone just as a buffer(per say) in just the first few days of kicking? I have quite a few norco too but I DON'T want to touch them anymore. I have to take 20+/day just to not want to jump off a bridge- no joke! They don't even make me 'feel good'~ Not to mention how much acetaminophen that all adds up to.  So if anyone has any experience OR opinion with what I'm asking/referring to~ please feel free to answer/comment/whatever. Thanks! "
Vomiting,https://www.drugs.com/answers/nausea-vomiting-you-ondansetron-after-date-expired-3128248.html,Nausea/Vomiting - Can you still use ondansetron after the date expired?,
Abnormal Uterine Bleeding,https://www.drugs.com/answers/started-provera-stop-bleeding-3168439.html,Just started Provera pill to stop bleeding?,Was on Depo shot a little over a year was about to get my next shot but 2 weeks before my next shot i started bleeding heavy and it wouldn't stop how long will it take for the Provera pill to work?? Help 
Vomiting,https://www.drugs.com/answers/time-day-best-sertraline-avoid-side-effects-3187422.html,What time of day is best to take sertraline to avoid side effects?,"I started taking sertraline 50mg once we day for depression and anxiety. I've been taking them for 9 days now and I've been experiencing insomnia, vomiting, restlessness and constipation. I take my pill every morning, but does it matter what time of day I take it? And how long until I will start seeing results? "
Obsessive Compulsive Disorder,https://www.drugs.com/answers/curious-about-zoloft-100mg-352877.html,Curious about zoloft 100mg?,"I'm a 28 yr old female this is my 1st day taking this medicine zoloft 100 mg I have experienced feeling hot all over & fatigue,Ive been reading review & have seen that fatigue is a big side affect & i've also read where ppl have gained weight & I sure don't need that..i dont need memory loss or confusion because i've had that,I need this to help my ocd and to help me calm down & stop worrying. any more information or comment would be nice,thanks "
Obsessive Compulsive Disorder,https://www.drugs.com/answers/weird-headache-sensation-possible-sertraline-side-2509171.html,Weird headache/sensation: possible sertraline side effect?,"I started taking 50mg sertraline almost a week ago for anxiety induced headaches and OCD. I started to get chronic headaches around mid October and after being referred to a neurologist, he diagnosed me with anxiety and prescribed me xanax to help deal with the headaches. He also scheduled an MRI just to be safe which turned out to be normal. The xanax helped a bit, but I decided I didn't want to become dependant and decided to seek a more long term solution to my anxiety. Went back to the neurologist and he prescribed me Zoloft. I was still having headaches and slight vision problems but after being on 50 mg for a couple days, I began having my usual chronic headaches accompanied by a strange sensation in my head when I breathed in. It's hard to describe. It's kind of like a rush of dull pain that intensifies as I breathe in. It's dizzying and unrelenting and seems to creep up on me as the day goes by, becoming the worst at night. The painful headaches have subsided slightly the past day or so, but this dizzying and unpleasant sensation has lingered and is becoming slightly worse. My head also feels full and seems to feel ""fuller"" when I breathe in. Has anyone else experienced this sensation and could it just be a side effect of the zoloft? Or could it be part of my pre-existing headaches, unrelated to the zoloft? "
Vomiting,https://www.drugs.com/answers/i-swallowed-a-spiriva-pill-do-i-have-to-induce-174219.html,I swallowed a SPIRIVA pill. Do I have to induce vomiting?,
Obsessive Compulsive Disorder,https://www.drugs.com/answers/prozac-insomnia-654086.html,Prozac and Insomnia?,"Hi, favour to ask: detailed answers requested! :-). Anyone whose had experience with Prozac and the side effect of insomnia? Would like to know:  a/ Was insomnia an initial side effect that went away with time? b/ how long did it take for the insomnia to subside?  c/ was the sleeplessness something that didn't go away and caused a change in meds from Prozac to__________?  d/ What one did and/or took medication-wise to help counteract the insomnia.  e/ also your take on whether you think Prozac was a helpful medication or not?  Any provided info would be great!!! I wake up between 6 to 12 times a night! :-( Annie.B.Tired but is noticing some alleviation of the depression with the Prozac -- little incremental 'windows' of improvement -- slow and small but I'll take whatever small improvement that comes along! I do have meds here that I could take (short term i.e. not every night) for sleep, but had a reaction/sensitivity to one some time ago and am a little medication leery/apprehensive... "
Obsessive Compulsive Disorder,https://www.drugs.com/answers/i-have-been-suffering-from-panic-attacks-and-338166.html,Is there anything out there other than benzos that help with panic attacks and depression?,"I have been suffering from panic attacks and anxiety(some depression as well)for 20 + years. I have been diagnosed with major depression,bi-polar disorder,panic disorder,adhd,and generalized anxiety disorder over the last 20 + years.I have been prescribed xanax,tofranil,welbutrin,paxil,effexor and lastly klonopin.The only thing that ever seemed to help me was the klonopin(2mg 3 times a day) with an anti-depressant.The only problem was the klonopin ended up putting me in rehab(highly addictive).After getting clean and sober the anxiety of course returned with a vengence.I have(over the last 8 months)been put on welbutrin,effexor,celexa,lexapro,buspar,luvox,atirax.None of these drugs did anything but make me feel paranoid and crazy!Buspar is useless,atirax as well.I honestly think that ssri drugs are useless for anxiety treatment,in fact in my case the condition got horribly worse!The only thing that has ever healped is te benzos.There has to be something out there other than a benzo that works.I am at my absolute wits end.Anyone got ant ideas??? "
Obsessive Compulsive Disorder,https://www.drugs.com/answers/zoloft-initially-raise-anxiety-then-anxiety-441204.html,"Zoloft initially raise anxiety, then anxiety subside?","Anyone that has a panic disorder/major depressive disorder/OCD... begin Zoloft only to have the anxiety level go up as a side effect, but the longer you stayed with it that side-effect subside? "
Vomiting,https://www.drugs.com/answers/plan-week-ago-familiar-side-effects-3407593.html,I took the Plan B pill a week ago. I am familiar with the side effects of this pill and I did go th?,I took the Plan B pill a week ago. I am familiar with the side effects of this pill and I did go through the effects that it does have but really not much of the vomiting or nausea until today. Right now I'm at the stage where I'm just nauseous and I feel like throwing up but I haven't really done that yet. I'm just scared wondering if something's happening or not I did get the bleeding for a week but I'm just not sure if like the vomiting and nausea is normal after a week. like I don't know how long the side effects last. Can someone help me. Im freaking out. 
