disease,postLink,postHeading,postContent
Erectile Dysfunction,https://www.drugs.com/answers/question--viagra-610986.html,How much Viagra should I take?,I came across some Viagra 100 Mg how much should I take for the fist time im 42 and was looking for some more fun with wife also can she take viagra 
Headache,https://www.drugs.com/answers/how-long-do-the-pristiq-headache-side-effects-266788.html,How long do the Pristiq headache side effects last? Wondering if I Should I keep riding it out?,
Generalized Anxiety Disorder,https://www.drugs.com/answers/atarax-25mg-today-anxiety-sleep-along-blood-671244.html,"I have been given Atarax 25mg today for anxiety and sleep, is this primarily for sleep?","I also take BP meds.I have not taken it yet. My concern is that it says to take 2 tabs before bedtime as needed so this makes me think it is primarily for sleep. If i take it during the day when I am stressed, will I be able to function @ work, I have to be alert with what I do so I am not clear on this. I have to go back in 1 week to see if the BP meds are working so I guess the only way to know is take it and see since the post I've read all differ so much. Let me add that I normally have a strong tolerance to medication. Any advice would be appreciated. "
Erectile Dysfunction,https://www.drugs.com/answers/medicine-fo-erection-levitra-cialis-viagra-632071.html,Viagra vs Cialis vs Levitra - What medicine is better for an erection?,Trying to get the comparison on these 3 kinds 
Generalized Anxiety Disorder,https://www.drugs.com/answers/suffer-anxiety-pulse-rate-over-100-normal-anyone-700384.html,I suffer from anxiety and my pulse rate is just over 100 is this normal and does anyone?,else have this problem i phoned 999 up they said it was ok but i'm a bit worried 
Generalized Anxiety Disorder,https://www.drugs.com/answers/hydroxyzine-medication-make-you-feel-high-670435.html,Hydroxyzine - does this medication make you feel high and out of it?,i dont like that feeling at all but i have very bad anxiety 
Generalized Anxiety Disorder,https://www.drugs.com/answers/citalopram-worried-about-starting-something-new-516633.html,Citalopram - how long does it take to notice a difference and are there any long term side effects?,"Worried about starting something new to treat the worry!! I have recently been diagonosed with depression and anxiety and was given Citalopram 20mg to treat these. I have to admit, I am hesitant to take anything of this sort, but I am @ my wits end looking for some type of resolution. "
Headache,https://www.drugs.com/answers/long-side-effects-headache-dizziness-after-792624.html,How long do side effects last (headache & dizziness) after starting Belviq? Is this temporary?,
Headache,https://www.drugs.com/answers/taking-effexor-xr-150-effexor-75-mg-lithium-300-694950.html,"I am currently taking Effexor XR 150, Effexor 75 mg, Lithium 300 mg 3 x day, clonapam and Trazadone?",I am concerned that some of these medications are interacting. I have had headaches for approximately four week and constant fatigue. 
Generalized Anxiety Disorder,https://www.drugs.com/answers/many-years-you-klonopin-oldest-person-you-taking-755571.html,How many years have you been on Klonopin? Who is the oldest person you know taking Klonopin?,"I am 61 and just started clonazapam for GAD. I cannot take SSRIs, can't tolerate side effects. I managed to not need a benzo for 21 years by taking Buspar, but it is not strong enough for my recent problems. I have to be on something lifelong now to keep from relapsing. I am hoping to find members who are my age and need to be on clonazapam for life, as I feel alone in my age group. I do not have panic attacks, just GAD. I hope to live into my 90s and wonder if I can take this at that age? Hope so, I am very healthy otherwise and my mom is 91 and grandma died at 97. I really like the clonazapam and how it makes me feel, if I could just stop worrying about it. I would like only positive feedback as I don't want to add to my anxiety. Thank you for listening. "
