disease,postLink,postHeading,postContent
Urinary Tract Infection,https://www.drugs.com/answers/ciprofloxcin-vaginal-lesions-look-herpes-3346272.html,Can ciprofloxcin cause vaginal lesions that look like herpes?,"Cipro was prescribed for UTI but lesions showed up on day two of treatment. Herpes tst was negative. Any connection between cipro and vaginal lesions,? "
Social Anxiety Disorder,https://www.drugs.com/answers/escitalopram-lexapro-good-people-sad-2988338.html,Escitalopram - Is lexapro good for people with SAD?,"Social anxiety disorder (SAD). I don't want to leave the house but when I do I m ok if I'm with my other half, Rod. I visit my three son's family but not as often as I would like because I can't get outside the house. I'm 61 just retired from the government March of last year. I could go to work but that's about it, once home, I didn't go out hardly. I love shopping online for food and things I need. I'm thinking I need something more than lexapro but not sure. "
Social Anxiety Disorder,https://www.drugs.com/answers/venlafaxine-hcl-er-150mg-questions-3415436.html,Venlafaxine hcl ER 150mg questions?,I was put on venlafaxine hcl ER 150mg once a day and only been on it for 14 days before I stopped. I started getting real dizzy feelings so I stopped it. Now it's been 4 days since I took it and I am getting dizzy spells again. Since I was only on it for 14 days are these dizzy feelings I'm getting from stopping it and how long will they last? 
Social Anxiety Disorder,https://www.drugs.com/answers/sertraline-social-anxiety-2807028.html,Sertraline not doing anything for social anxiety?,Hi everyone. Okay so I got prescribed sertraline 50mg like 2 months ago recently bumped it up to 75mg like 5 days ago because doctor told me to since it's not helping with my social anxiety at all. What should I do? I feel like I should definitely be on like 150 mg or 125 because my anxiety is so bad. I would also like to add that I'm taking it in the morning if that helps at all 
Social Anxiety Disorder,https://www.drugs.com/answers/taking-25mg-zoloft-anxiety-medication-3355596.html,Taking 25mg of Zoloft do I need to ask for anxiety medication?,I have been taking Zoloft for 6 weeks I am still having lots of anxiety. I'm not feeling any results as of yet. I don't know what to do. 
Social Anxiety Disorder,https://www.drugs.com/answers/paxil-withdrawal-symptoms-leave-751293.html,Paxil - When will the withdrawal symptoms leave???,"Anyone out there experience this?! I have been trying to find the answer to this question and no luck:(, I was only on Paxil for two weeks, taken off last Tuesday July 9, to this day I have headaches, nausea, sinuses are painful, tiredness, dizziness, sluggish and I have a ton of things I need to get done and do this week! Will this ever go away!!! I went on anti depressants after saying NO for 40 plus years, I now will not go on any ever again because I feel I was mis-led by my doctors. Sad really when you think about it, I needed help and feel screwed. Please help?! Thanks;) "
Social Anxiety Disorder,https://www.drugs.com/answers/is-anyone-experience-a-constant-metallic-taste-320987.html,Is anyone experience a constant metallic taste from either Paxil or Lexapro?,This is not due to dental work. Has been going on for 3 years. I am trying to wean off Lexapro and take 10 mg every other day. Any advice and shared experience is appreciated. 
Urinary Tract Infection,https://www.drugs.com/answers/i-am-33weeks-pregnant-with-recurrent-uti-can-i-284524.html,"I am 33weeks pregnant with recurrent uti,can I take niftas od for 10 days?",i meant NIFTAS once daily for 10 days? 
Social Anxiety Disorder,https://www.drugs.com/answers/are-benzos-and-bp-med-available-in-vietnam-296780.html,Are Benzos and BP med available in Vietnam?,"Currently in Bolivia, where I've had no problem getting all my drugs over the counter, except Lorazapam, which requires a prescription. In August I have the chance to go to Hanoi, Vietnam, minimum one year, am concerned as to the availability of this kind of medication over there? I also take Venlafaxine 75mg SR capsules, as well as blood pressure tablets. Any advice, please? "
Social Anxiety Disorder,https://www.drugs.com/answers/zoloft-25-mg-good-baby-dr-change-bupropion-xl-150-3483358.html,I used Zoloft 25 mg I was good but I want to have baby my doctor change to bupropion XL 150,"But I have very bad anxiety, do you know after how long it's helped me? Because I used to 4 weeks but I don't have a good feeling  Please help me "
Social Anxiety Disorder,https://www.drugs.com/answers/taking-37-5-mg-effexor-xr-3-weeks-feeling-3470585.html,I’ve been taking 37.5 mg of Effexor XR for 3 weeks now and seem to be feeling better?,Is it necessary to increase the dose to 75mg if I’m feeling better on the 37.5 mg? 
Social Anxiety Disorder,https://www.drugs.com/answers/klonopin-4-mg-day-200-mg-zoloft-5-months-3469367.html,I have been on Klonopin 4 mg a day and 200 mg of Zoloft for 5 months now?,"I'm switching jobs so it will be about 3-4 months before i will have insurance again. I have plenty of Zoloft but am terrified of the Klonopin withdrawal as it has happened before. I have always experienced extremely high anxiety and so need daily medication. But i guess my question is, will the Zoloft help with the Klonopin withdrawals? What should i do? I can't go through that again. It was so bad i quit my job and am in danger of losing everything! "
Social Anxiety Disorder,https://www.drugs.com/answers/switching-prozac-paxil-3464435.html,Switching from Prozac to Paxil?,"Due to Prozacs long half life is there a waiting period before I can take Paxil? My doctor wasn't too specific about it, mentioned how they're in the same category so can transition easy but also told me to wait a few days "
Urinary Tract Infection,https://www.drugs.com/answers/developed-chest-pains-cough-after-2-doses-100mg-3415308.html,I developed chest pains and cough after 2 doses of 100mg of Nitrofurantoin. dr. says to continue?,"I started on Nitrofurantoin 100mg 2x daily on 6/5/18 for a UTI which I haven't had a UTI in 20 years. Anyway, I woke up the next day with chest pain and a bit of a cough and pain when coughing. I called my dr. and he said he didn't think it was from the medication and said to keep taking it, but that is contrary to what I am reading online about this medication. It says to stop it if you have a cough and chest pain. Now I have had 5 doses and it is a day later and my cough is more frequent and my chest pain is worse, but dr. says to keep taking. I am worried about irreversible damage to my lungs. I already have a history of asmtha, but never had chest pains like this. It hurts to breath in or move around. "
Urinary Tract Infection,https://www.drugs.com/answers/cephalexin-diff-antibiotic-urinary-tract-infection-3346515.html,Cephalexin - Had C-DIFF and not to take an antibiotic for anything but have urinary tract infection?,... should I take 
Urinary Tract Infection,https://www.drugs.com/medical-answers/drugs-contained-vabomere-3331545/,,
Social Anxiety Disorder,https://www.drugs.com/answers/bupropion-xl-good-social-phobia-3484655.html,Is bupropion XL good for social phobia?,I used Zoloft and I have a good feeling but I want to get pregnant and my doctor changed me to bupropion XL. I have anxiety and social phobia again. 
Urinary Tract Infection,https://www.drugs.com/answers/ceftriaxone-gave-shot-uti-feel-urge-pee-3306901.html,Ceftriaxone - They gave me a shot for a uti but I still feel the urge to pee?,Ive been having a really bad uti since wednesday & I finally went to the doctor on saturday & they gave me a shot in the buttox they said that i would feel better but its late sunday now & i still feel the urge to pee but the burning pain went away.. Should I Be Worried... How long does it take for the shot to have an affect? 
Urinary Tract Infection,https://www.drugs.com/answers/ciprofloxacin-full-prescription-ciprofloxacn-500-3234674.html,Ciprofloxacin - I have a full prescription of ciprofloxacn 500 mg that I apparently never took. I?,... am now prescribed the same prescription but 250 mg instead. Can I cut the pills in half and take them for the prescribed time? It is for a urinary infection. 
Urinary Tract Infection,https://www.drugs.com/answers/uricalm-product-days-recommended-3144574.html,Uricalm - What if I have to use this product for more than two days like recommended?,I am noticing I have an UTI. I have already taken the medicine for two days but I can not get a doctors appointment until next Friday. What should I do? 
Social Anxiety Disorder,https://www.drugs.com/answers/cold-medications-taking-sertraline-3464212.html,Can I take any cold medications while I am taking sertraline?,Ive been fighting a upper respiratory infection and i would like yo get medication to help me sleep and fight it but I'm worried my (150mg a day) sertraline will not let me take anything to help 
Social Anxiety Disorder,https://www.drugs.com/answers/many-drugs-antidepressants-clinical-trials-social-3447617.html,How many drugs (antidepressants) are in clinical trials for social anxiety disorder?,Are there any antidepressants currently tested for social anxiety? How many? What are they? Name? Thank you all. 
Urinary Tract Infection,https://www.drugs.com/answers/anyone-information-warfarin-urinary-infections-2805402.html,"Hi, does anyone have any information on warfarin and urinary infections (male)?","When my husband's warfarin dose goes up, he can get a really bad (hospitalised) urinary infection. The specialists say there is no correlation but we think there might be. Any info would be great. Thank you "
Urinary Tract Infection,https://www.drugs.com/answers/i-have-hives-from-cipro-for-a-uti-can-i-take-205627.html,I have hives from Cipro. for a UTI. Can I take Macrobid?,
Urinary Tract Infection,https://www.drugs.com/answers/interaction-uti-metformin-xarelto-propranolol-3443992.html,"Interaction - I have a UTI. I take metformin, and Xarelto, propranolol, methimazole, and oxycodone.",Can I take Keflex? 
Social Anxiety Disorder,https://www.drugs.com/answers/quetiapine-social-anxiety-957611.html,Quetiapine for social anxiety??,Quetiapine is can helping for social anxiety I take 200mg per day? 
Urinary Tract Infection,https://www.drugs.com/answers/16-weeks-along-pregnancy-azo-maximum-urinary-pain-3124623.html,I am about 16 weeks along during my pregnancy. Can I take Azo maximum urinary pain relief?,"... I am experiencing uti/bladder infection pain and would really like to take Azo maximum urinary pain relief to get rid of this pain, would this be safe to my unborn child? "
Urinary Tract Infection,https://www.drugs.com/answers/symptoms-answer-knot-shaft-penis-head-3432206.html,Whats the symptoms answer for a knot in shaft of penis towards the head?,the knot is all the way around the inside in the shaft towards the head 
Urinary Tract Infection,https://www.drugs.com/medical-answers/type-drug-zemdri-3436179/,,
Social Anxiety Disorder,https://www.drugs.com/answers/weaning-xanax-after-taking-20-years-3446851.html,Weaning of off Xanax after taking it for 20 years?,"Going to try to make this as short as possible. I have GAD & social anxiety, also very hyper. I've been on xanax for 20 years. When I first started taking it I would have to pop one every 5-6 hours. Sometime around 2013 xanax XR came out & I was taking one 1 mg at 8:00 am & one at 8:00pm..along with remeron for sleep which worked great until about 2 years ago when I kept waking up at 4:00 am. December 2017 I decided to try taking the 2 XR's at bedtime instead of one in the morning & one in the evening. That worked for about 6 months. Now taking 100 mgs of Seroquel and its putting & keeping me asleep... expect for last night when I skipped the xanax. Woke up at 2:00. There's more to this mess but I'd bore you to death. My problem is that my psychiatrist is retiring within a year & he pretty much told me that I'm going to have a real hard time finding any doc that will prescribe xanax to me (thanks to jerks that abuse drugs) so I need to start weaning off. My question, do doctors still prescribe xanax or would I be wasting my time trying to find a new psychiatrist??? "
Social Anxiety Disorder,https://www.drugs.com/answers/lexapro-social-anxiety-hello-taking-15mg-3268784.html,"Lexapro for social anxiety. I am taking 15mg of escitalopram, (Lexapro). Been suffering from..","... social anxiety for a long time and finally went to get help. I have been on this for about 3 weeks and have not felt any change. I started on 10mg and after the first 2 weeks we increased to 15mg, any thought ideas should I be feeling changes by now to indicate whether it is working for me or not, I am still feeling not well enough or comfortable to go to work/be in a social environment with out the feeling of people judging me, I am not able to hold a conversation without getting distracted forgetting what I am saying or worried about what people think of me. I'm always expecting the worst possible consequences from a negative experience during a social situation/analyzing my performance and identifying my performance and flaws in my interactions with people. I need help thanks! "
Social Anxiety Disorder,https://www.drugs.com/answers/sertraline-started-25mg-anxiety-worse-3246685.html,"Sertraline - Just started 25mg, Anxiety is much worse?","I also take a benzo, I am not feeling depressed or tired but the nervousness is off the charts. Anyone have this as a side and how long does it last? Im afraid I wont be able to function at work "
Social Anxiety Disorder,https://www.drugs.com/answers/first-few-hours-after-effexor-xr-75mg-3425193.html,The first few hours after Effexor XR 75mg?,"I notice when I first take my Effexor 75mg XR the first few hours are tough. Increased anxiety, also feeling out of it. It decreases over time. Is that normal? I'm two weeks in on the 75mg dose. "
Social Anxiety Disorder,https://www.drugs.com/answers/started-taking-celexa-week-ago-menstrual-cycle-3094269.html,I started taking Celexa a week ago and my menstrual cycle is late?,"I just switched from 50mg Zoloft to 20mg Celexa last week and my menstrual cycle is late, I know that I'm not pregnant because I haven't had sex, but could it be because of the medication switch? Any help is definitely needed. "
Social Anxiety Disorder,https://www.drugs.com/answers/son-15-yrs-accidentally-doses-zoloft-yesterday-3055883.html,My son (15 yrs old) accidentally took two doses of Zoloft yesterday?,... but they were about 8 hours apart. Now we're wondering if he should still take his regular dose again this morning? I called his doctor but had to leave a message and they are usually VERY slow about getting back to me. 
Social Anxiety Disorder,https://www.drugs.com/answers/day-zoloft-normal-3478066.html,"Day six of Zoloft, is this normal?","I’m 36, and have been on Zoloft before, but don’t remember it being this way before. I can’t sleep more than an hour at a time during the night, and wake up with this cold anxiety/adrenaline feeling through my whole body every morning. I am so scared all the time that there’s something wrong with me, even though I was in the hospital the other day, and they assured me it’s just anxiety/panic from starting the medications. I feel worse than before I started taking the Zoloft. I was put back on it because of a constant month of panic and anxiety attacks due to life getting out of hand. I hate feeling this way. Will I ever feel normal again? "
Social Anxiety Disorder,https://www.drugs.com/answers/anyone-successfully-gained-confidence-decreased-3031066.html,Has anyone successfully gained confidence/decreased social anxiety with Zoloft + Welbutrin?,"Hey all! I took Zoloft back in 6th grade and I remember being funny, well-liked, and adventurous! I even tried out for the lead role in our musical (couldn't imagine walking on stage now). Anyways, sometime after that, I discontinued the Zoloft, and over time I became afraid, unmotivated, scared, and have much difficulty talking to people *cough* *girls* *cough* but also classmates and strangers. I decided to see my Dr. and was put on 100 mg Zoloft for 2 months with the only outcome being sleepy and lethargic, I didn't worry as much but I still had issues interacting with others and showing my emotions. We recently added 150g Welbutrin XL to help with energy, and it does seem to help some. I just want to connect to others with ease, genuinely laugh again, and not be that weird guy in the corner :( Has anyone successfully found their social anxiety miracle yet? I just need some hope I guess! "
