disease,postLink,postHeading,postContent,postTags
Oral Health,https://messageboards.webmd.com/health-conditions/f/oral-health/5649/tooth-feels-loose-but-isn-t,Tooth feels loose but isn't!?,"I've noticed that one of my teeth on the bottom front left side of my mouth feels loose sometimes. I've wiggled it and it doesn't seem to move (I don't think) and I've had my mom wiggle to, and she says it doesn't move. Other times it feels normal. I nervous to floss around that particular tooth right now (I usually floss everyday). I brush twice a day and usually use mouth wash once a day.  I'm worried because I haven't seen a dentist in at least five years or so. Lastly I should mention that my jaw pops when I yawn (I'm forcing myself not to do that) and I've noticed it feels sore particularly in the back of my mouth. I can feel it in my face and neck as well sometimes. Don't know if this is associated with my teeth but any help would be appreciated before I see the dentist. Thanks","Dental Procedures , Mouth Problems , Tooth Problems"
Oral Health,https://messageboards.webmd.com/health-conditions/f/oral-health/5640/extraction-infection,Extraction infection,I had a tooth extracted almost 2 weeks ago everything seemed to go fine a week after procedure it started pussing out called the dentist and he prescribed an antibiotic been taking it for about 4 days and gums still pussing out when i push on it. Is it normal i still have about 6 days left of the clindamycin. Do i need to be patient or is something wrong?,Dental Procedures
Oral Health,https://messageboards.webmd.com/health-conditions/f/oral-health/5635/why-can-t-i-get-rid-of-my-tonsil-stones-what-is-causing-them,Why can't I get rid of my tonsil stones/what is causing them?,"22 years old.I exercise, drink water daily,eat healthy (no refined foods,no sugary orstarchy foods)I get 8 hours of sleep every night and feel very healthy! Had Lyme Disease which was treated with anitbiotics and has since had no further complications that I know of.My issue for the past two years has been tonsil stones!I’ve tried gargling with salt water,using mouthwash three times a day,oil pulling,etc and nothing works.I don’t know what the underlying cause is or how I can get rid of them.",
Oral Health,https://messageboards.webmd.com/health-conditions/f/oral-health/5433/sores-from-electric-toothbrush,sores from electric toothbrush?,"I have been getting sores just inside my lips and on the sides of my tongue, I think they are from the back side of the electric toothbrush. Does anyone else have this problem?",Mouth Problems
Mental Health,https://messageboards.webmd.com/health-conditions/f/mental-health/54432/venlafaxine-withdrawal,Venlafaxine withdrawal,"Read posts with excellent suggestions of supplinents to take during the 37,5 mlg withdrawal process down from 150mg dose I'd been on for about 30 years. I've been weaning myself slowly 2 yrs ago from 150 mlg, yr or so to 75mlg and about a year ago down to 37.5 mlg. I understand it could take weeks or months for the final withdrawal Understanding that I have purchased several of the recommended supplinents and give it the final go. I've been Venlaflaxine free for 7 days.  I highly recommend decreasing dosages slowly over time because the ""brain zaps"" are intolerable . Even at just 7 days off of the 37,5 mlg I have experienced most of the common withdrawal symptoms only to a much much tolerable degree. Adding some of these supplinents should be very helpful. Fish oil, Q10, B Complex, Ginger root, Magnesium Complex. Perhaps others. Not sure of the dosages in my case but a lot of the fish oil and ginger root had been recommended plus a lot of water, excercise. My Dr. is monitoring my withdrawal process. This has probably been my worst experience since my colon ruptured, surviving Sepsis the colectomy & colostomy followed by double Pulmonary embolisms and reattachment a year later. That was 8 years ago...but, now that I think about it that was much worse than this withdrawal thing.",Anxiety & Panic Disorders
Mental Health,https://messageboards.webmd.com/health-conditions/f/mental-health/54444/i-need-help,I need help,"I have depression and I got the guts to tell my mom. It was a really hard thing to do. She proceeded to tell me that i was being a hypochondriac. A few weeks later she got a call from the councillor saying that i hurt myself. That was a terrible conversation. Instead of listening to me, she Interrogated me, lost hope in me, and didn't talk to me until after i came back from my dads house.","Depression , Eating Disorders , Self Harm"
Mental Health,https://messageboards.webmd.com/health-conditions/f/mental-health/54951/feeling-depressed,Feeling depressed,So my therapist has diagnosed me with Complex Trauma but also with Major Depressive Disorder. I've been doing ok lately but just had knee surgery so am laid up. I don't do well just sitting not being able to do things as my mind has time to feel things.  So now I have been feeling really depressed and emotional. I want to fall back on my old ways of coping but know I shouldn't as they aren't healthy but yet they work to balance things out. Pretty much feeling anxious and like I'm a worthless burden.,"Anxiety & Panic Disorders , Depression , Self Harm"
Mental Health,https://messageboards.webmd.com/health-conditions/f/mental-health/54737/medications-that-are-being-taken-at-the-same-time,Medications that are being taken at the same time,"Can the following meds olanzapine,quetiapine, benztropine, ziprasidone, divalproex extended release, propranolol be taken at the same time without contradicting each other or making a patient sick?","Anxiety & Panic Disorders , Depression , Schizophrenia"
Mental Health,https://messageboards.webmd.com/health-conditions/f/mental-health/54967/scary-bed,Scary Bed?,"About a month ago I was diagnosed with anxiety disorder (and am taking escitalopram to deal with it) and initially I thought that having nothing to do in bed was giving me anxiety that made sleeping difficult or impossible. Even just being in bed to relax with a book or have a nap is difficult for me. However, I have now found that simply leaving my bed and going elsewhere to sleep reduces that nighttime anxiety significantly. Obviously, I would prefer to sleep in my actual bed. How can I stop my anxiety from being triggered just by being in bed?",Anxiety & Panic Disorders
Mental Health,https://messageboards.webmd.com/health-conditions/f/mental-health/50544/marijauna-as-an-anxiety-depression-med-in-adolescents,Marijauna as an anxiety/depression med in adolescents,What are your thoughts on the long term effects of marijauna usage in adolescents? Helpful? Not? Addictive? Not? Lasting psychical or mental damage or not? Thank you.,
