disease,postLink,postHeading,postContent,postTags
Digestive Health,https://messageboards.webmd.com/health-conditions/f/digestive-health/2638/daily-constant-nausea-and-stomach-ache,Daily Constant nausea and stomach ache,"My daughter wakes up every day at 5:30 am feeling nauseous. After a few minutes she ends up in the bathroom with diarrhea or what she calls ""sludgey"" bowel movements. We do have IBS, she has had an endoscopy, colonoscopy, h.pylori test, blood and biopsy test for celiac, tested for pancreatitis and everyone says the tests show nothing. She doesn't have Crohn's disease or any ulcers. She tried eating gluten free to see if she had a gluten allergy. She was diagnosed with excessive acid in her stomach. She takes acid pills for this but is still sick. She hardly eats, she is malnourished and just looks likes she's widdling down to nothing and slowly dying. She's only 22 and nobody can find anything wrong, but she is sick and in pain daily. Has any had this or know what could be making her sick?",
Digestive Health,https://messageboards.webmd.com/health-conditions/f/digestive-health/34684/husband-s-issues,Husband's Issues,"Long story short, my husband was diagnosed with Gastric and Esophageal Cancer almost three years ago and had his Stomach and then his Esophagus removed one year a part (2015 and 2016). He has had chemo and radiation and now immune therapy (cancer peritoneal) . Since the esophagectomy and small intestines pull through to become his way to eat (small intestine is attached in front of his heart to the small left over esophagus)...he has been able to eat almost anything he wants. He gained almost 50 pounds since his surgery. Lately his food stops about chest high and will not pass and therefore he regurgitates his food and now has lost 10 pounds. He had an endoscopy and an upper GI barium test over the past two days. Both test saw food remaining in his upper intestines. Doctor is afraid the pulled through small intestines has lost his mobility and contracting ability to move food. Is there anything he can do to promotes the food to pass through down to his lower intestines and to his colon without throwing up? Digest his food? He had two feeding tubes during the surgery. They were removed. He wants to continue to eat normal. Any suggestions?",Bloating
Digestive Health,https://messageboards.webmd.com/health-conditions/f/digestive-health/34685/going-on-a-dairy-free-trial-and-feeling-withdrawals,Going on a dairy-free trial and feeling withdrawals,"I've been seeing a nutritionist/registered dietitian for the last several months because, well, I've always struggled to get all of what our bodies need (it's been hard to willingly eat the right number of fruits, veggies, and fiber), but also to see if I could do anything on that end to get rid of the chronic constipation I've dealt with all of my life. Suffice to say, drinking the right amount of water and adding more fiber/greens hasn't helped me out. I've even been taking a broad spectrum probiotic, as recommended by my dietitian, but, again, no change to my bowel habits (I think taking the probiotic twice a day for several days made me feel sick, so I'm back to taking it only once a day). With all of this (which I've been working on for the greater half of this year), my dietitian decided I should try to cut out all dairy products for 3-4 weeks to see if I might have a dairy sensitivity (while intolerance causes diarrhea, she told me that a sensitivity can cause constipation). I started it yesterday after having tried out and chosen some dairy alternative products (her recommendation of pea-based Ripple Milk is great, as it has the same amount of protein as cow's milk, but isn't as sweet or watery as a lot of other alternative milk, and I found a dairy-free, plant-based ""butter"" that tastes just like butter...but I'll avoid any fake cheese like the plague, because what I tried tasted like sacrilege!).  BUT...on the morning of Day 2 (the day I am writing this post), I'm already feeling withdrawals. I feel a bit weak, even though I had a protein-rich snack and lunch (used Ripple Milk in my cereal for breakfast, so I got the same protein I would have gotten if it was cow's milk), foggy-headed (almost like a headache, but not really), and I am CRAVING sweets like no tomorrow. It sucks! Not to mention the agonizing realization that, during this trial period, I will have to avoid a lot of pastries and chocolate that are brought into my office (unless if someone had the heart to bring in Mighty-O donuts instead of Top Pot), and avoid all pre-made breakfast sandwiches served in any cafe, since cheese comes on them by default (and they are usually frozen/refrigerated, so the cheese can't be taken off before heating up). I mean...at least restaurants where they make their plates from scratch can honor a customer's request to not even add dairy products. It's only Day 2 and it's maddening to think how much food I love has dairy in it, even food that I honestly would never imagine would have dairy at all (same with things that have wheat/gluten - why add something extra to foods/drinks that has nothing to do with it? Which is why hard cider being labeled as ""gluten free"" cracks me up. But, no, I am not cutting out gluten, just dairy). And almost anything I see in grocery stores that has dairy taken out is labeled as ""vegan"" - I am not going vegan! I have nothing against eating animal byproducts! I just can't have dairy until the trial is over and I see if it made any difference. Can't things be just ""dairy-free"" instead of lumped up under the ""vegan"" label?? Well, anyway, that's my story, and I hope that perhaps people could give me some advice (besides what my dietitian already told me) on how to successfully get through the next 3-4 weeks...and how to treat the withdrawals I'm already experiencing. I should point out that I already take a Vitamin D supplement every day, since I get some seasonal blues with the lack of daylight.",
Digestive Health,https://messageboards.webmd.com/health-conditions/f/digestive-health/34762/black-soft-stool,Black soft stool,I have black soft stool and I was reading online and it said that could be bleeding in stomach I just want to know if I should go get it checked out,
Heart Health,https://messageboards.webmd.com/health-conditions/f/heart-health/4342/the-secret-to-heart-health-moderation,The secret to heart health? Moderation.,"Living a lifestyle conducive to heart health doesn't have to be all deprivation and no fun. Moderation is the key to developing long-term healthy habits.  Diet, exercise, and stress management are three of the key factors affecting heart health (outside of genetics).  —Reducing the amount of processed and fast foods, which tend to be high in sodium, sugar, and refined grains, is a no-brainer.  —Moderate amounts of alcohol, especially red wine, can actually improve heart health. —Exercising a few times a week can have a significant impact on your heart. —Add in some stress-reducing activities, and you'll be well on your way to a sustainable lifestyle that's good for your body and mind.  Check out this article for more doctor-recommended heart health tips:","Exercise , Diet"
Heart Health,https://messageboards.webmd.com/health-conditions/f/heart-health/4344/ejaculation-problem,Ejaculation problem,I am currently able to obtain erections with Quadmix injections but I am having a problem with reaching a climax and ejaculating. Any suggestions?,
Heart Health,https://messageboards.webmd.com/health-conditions/f/heart-health/4305/triple-bypass-cad-in-2005-good-health-2017-abnormal-stress-test,"Triple Bypass / CAD in 2005, Good Health, 2017 Abnormal Stress Test","I am 73 yoa. Had 3 bypasses in 2005 and was diagnosed with cad at that time. Didn't have a heart attack. In 2010 diagnosed with type 2 diabetes. From 2005 until present have had no heart issues. On 2-20-17 was given a stress test. Completed the stress test and dr said i had an ""abnormal"" stress test. At completion of stress test i was breathing very hard due to the elevation and tension on the treadmill. As i walked on the treadmill near the end of the test the nurse asked me if i ever exercised. I replied that i walked 2 1/2 mi every day. She asked if i walked slowly and i said no, at a normal pace. I am supposed to find out the results of the stress test tomorrow. I still feel great, no pain. Is my cad advancing? I'm trying to prepare for what the diagnosis is ??? Any thoughts??",Heart Disease
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/20983/sex-after-radical-prostatectomy,Sex after Radical Prostatectomy,"5 years ago I needed my Prostate removed after tests indicated cancer, my Urologist was unable to spare my nerves around the gland, I have a reduced orgasm but often it feels very satisfying, I am concerned because I will always erect what I believe is urine during sex, is this common is it the same as urine? Any advice please.",Men's Issues
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/20922/a-strange-spot-on-semen,A Strange spot on semen,"I always check my semen after I mastubate ( I have varicocele ), but there once time I had a tiny brown spot in my semen floating , not many just one spot floating , the spot doenst seem like liquid ( I didnt touch ) . I search on google and some people have spots on semen too , but they have many spots .  If it not happens again then I shouldnt worry or should I ( it only happens once time though ) ? I do have pains time to time in my test but I think due to the varicocele .",
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/20838/does-this-look-like-oral-hpv-to-you,Does this look like oral HPV to you?,I got diagnosed with genital hpv about a year ago. That has since cleared to little or no outbreaks. About 4 weeks ago I noticed my throat was really dry and itchy during the mornings. Through the day I don't notice it....Around the same time this started my boyfriend and I started having oral sex. I'm just worried that I may have caught something again. Are my throat problems a coincidence or is this related?,HPV/Genital Warts
