disease,postLink,postHeading,postContent
Gallbladder Problems,https://patient.info/forums/discuss/small-intestine-bacterial-over-growth-sibo--696938,Small Intestine Bacterial Over growth (SIBO),"I had my gall bladder out January 2 2017. I had been suffering a couple of months prior to having it come out. it needed removing but I it didn't solve the problem of the pain, nausea, bloating and vomiting. I have recently had a working diagnosis for SIBO. I've been in the hospital for over a month and have lost over 50 lbs. the hospital I'm in won't pay for the breathing test I need done nor the expensive  . They are just trying to get me eating and hydrating. when I get out of the hospital I will be going to have to pay to see a functional medicine doctor to pay to get the test so I know for sure then I will have to buy the antibiotics I need to treat it and go on a very strict diet to starve the bacteria. Once the bacteria is gone it can take 6 months for the small bowels to heal. I'm just putting this out there for people to maybe ask their Dr about or try to get the test for it if you have the symptoms I've been having. I will post the results of my breathing test once I've had it. 0 likes, 1 reply "
Gallbladder Problems,https://patient.info/forums/discuss/gastritis-and-acid-reflux-one-year-post-op-697021,Gastritis and acid reflux one year post op,"Hi! I had my gallbladder removed a year ago after being diagnosed with polyps. Everything went well until about three months ago when I started suffering from acid reflux and  . Could it be caused by my lack of gallbladder? 0 likes, 4 replies "
Gallbladder Problems,https://patient.info/forums/discuss/abdominal-tightness-due-to-gallbladder-disease--696807,Abdominal tightness due to gallbladder disease.,"I have a large gallstone trapped in the neck of the gallbladder but am also being treated for a lung condition which has to take priority. At least I am no longer suffering from extreme pain but I do get horrible abdominal tightness which worsens after eating (albeit carefully). Anyone else experience this and if so, any temporary fixes? 0 likes, 10 replies "
Gallbladder Problems,https://patient.info/forums/discuss/diarrhea-after-gallbladder-removal--564733, Diarrhea after gallbladder removal?,"I had my gallbladder removed January 25th. Been ok... i didn't really eat the first 3 days. Now that I'm eating 'normally' I'm having some stomach issues still after eating, I get diarrhea with in minutes of finishing a meal, I'm always hungry after! I feel like my food goes right through me... it's depressing that I can't even go out to dinner with my family at a restaurant because I have to run to the bathroom after I eat. Forget about car rides! I have to stop a gas stations sometimes to relive myself. It's so embarrassing! Not to mention inconvenient! Someone help! Is anyone else experiencing this!   7 likes, 178 replies "
Gallbladder Problems,https://patient.info/forums/discuss/hida-results--689374,HIDA Results.,"After 2 years of right rib pain, pain between my shoulder blades and 24/7 nausea i finally had a HIDA scan at the end of November. I got my results on Friday and my ejection fraction was 73%. Luckily the gastro hasn't discharged me and wants to see me again in 3 months. I've read that 73% could be an overactive gallbladder but it's taken me 2 years of pushing and fighting to get this far so how on earth can i suggest that to a gastro/healthcare system that is so hard to get anywhere with? I've read that overactive gallbladder is over 65% but some sites say over 75 to 80%. Thanks 0 likes, 4 replies "
Gallbladder Problems,https://patient.info/forums/discuss/i-am-still-exhausted-8-weeks-after-gallbladder-removal-530459,I am still exhausted 8 weeks after gallbladder removal,"Hi, I was wondering if anyone else is still so tired after their gallbladder surgery? I had my bloodwork done and only low D so taking suppliments. B12, multi with iron, D, enzymes and a probiotic. I am nit having the dreaded diareah, eating healthy just exhausted. Thank you for any replies. 2 likes, 42 replies "
Gallbladder Problems,https://patient.info/forums/discuss/long-term-effects-of-gallbladder-removal-on-stools--697709,Long term effects of gallbladder removal on stools?,"i had my gallbladder removed 12 years ago and i have notice recently that i am passing pale stools. theyre not white or clay coloured but more a light brown / tan / yellowish colour. has anybody else experienced anything like this? i honestly couldnt say how long its been going on for 0 likes, 4 replies "
Gallbladder Problems,https://patient.info/forums/discuss/gallbladder-is-gone-so-where-is-this-pain-from--35357,Gallbladder is gone so where is this pain from?,"HI Had the dreaded gallbladder removed last June after only 7 months of pain (so I'm pretty lucky).   Everything went well, home the same day - took a good 4 weeks to feel totally better after the op but eating was ok and I don't seem to be affected by bowel issues like some people. Only problem is I have dull ache in exactly the same place I used to get the gallbladder pain.  It's not intense pain but it's in the front RUQ under my ribs and moves round the side and to my back.   It doesn't seem to appear after anything in particular and most of the time it's there constantly.  Suppose it's more of an annoyance than anything else because I'm always aware of this ache.  I'm quite reluctant to go to my GP because after spending about 7 months constantly in the surgery last year updating painkillers and nausea pills I don't want them to think I'm addicted to medical attention. Just wondered if anyone had anything similar or if it's just a by-product of surgery that I'll have to get on with? Thanks 30 likes, 1252 replies "
Gallbladder Problems,https://patient.info/forums/discuss/pain-after-gallbladder-removal-175640,Pain After Gallbladder Removal,"Last November I suffered severe pains in my stomach and back and after a scan was found to have gallstones and an inflamed gall bladder. I was told that I would need to have the gallbladder removed which I did five months after being first diagnosed. In that five months I eased the discomfort by cutting out dairy food and fried / fatty food (which I had little of anyway) . I did get pains but were manageable. I did lose a lot of weight though, I went from 13st 12lbs to 12 stone within about three months. This was drastic as I was still eating.  I had the operation to remove my gallbladder on 4 April and came out of hospital on the same day. Unfortunately one of the ""wounds"" from the operation got badly infected and an   formed. This led me being taken into hospital for 5 days for the infection to be cut away and put on a strong course of  . Unfortunately I haven't felt well since the gallbladder removal, leaving aside the abscess, I still get considerable pain from my stomach most days. I have to go to the toilet more which is quite loose and I get dreadful indigestion making me want to burp quite a bit. I was hoping to put on some weight as I am very thin but sadly if anything it has gone down a bit more.  My GP says I have to be patient and it will get better.  Has anyone else suffered symptoms like this after a gallbladder removal ?  Any comments appreciated. 1 like, 35 replies "
Gallbladder Problems,https://patient.info/forums/discuss/surgery-or-not--698667,Surgery or not?,"I'm scheduled for gallbladder surgery in three days. I cant help feeling that I owe myself the opportunity to attempt to dissolve my stone..I have one large stone, as far as they know..Ive only suffered two attacks since diagnosis lat July. I know that I have a definite draw towards giving self emulsification of my stone.. I'd rather not live without my gallbladder..is it dangerous to postpone the op'..& attempt another option. .in advance for those folk in excruciating pain I do not want to appear ungreatful for NHS available treatment..but I'm so confused ..can anyone advise ..? thanks SJP 0 likes, 6 replies "
