disease,postLink,postHeading,postContent,postTags
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/2528/kinda-freaking-out-about-gonorrhea,Kinda freaking out about gonorrhea.,Ok so I was tested positive and treated for gonorrhea as well as a bladder infection and bv... I was taking two different antibiotics and went in for more to treat the gonorrhea all symptoms went away but now my anus itches and is bleeding after i wipe. My question is. Could this be from the gonorrhea or is this just cause of all the antibiotics I had to take??,"Women's Issues , Gonorrhea"
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/2545/clhamydia-help,Clhamydia Help!!,"Hello. I'm a 21 year old male, I was recently tested positive for clhamydia. Now I've never gotten an STD before. Before I knew this, here's how it started. For about a few weeks, I started to develop this small burning sensation when I peed. Another thing I noticed was the tip of my penis, whenever touched like by my clothes (inside my pants) or even a slight touch of my finger it would hurt. So I figured it would go away but it didn't. So on December 22 I went to my local urgent care and they did the urine test. Come Christmas Eve they told me I was positive for clhamydia. I was prescribed 2 pills 500 Mg of azithromycin one dosage to take at once. They said it would take about a week for symptoms to go away. It's odd though because I've been drinking a lot of water and it soothes the burning, but once in awhile it will still burn. Also the touching of the tip still happens. Now it's been a week and I still have both of these symptoms. I called the nurse from the urgent care and just told me to call to come in again during the week. Now my question is, when will these symptoms go away? I still have the burning and weird touching feeling still. Is possible I have something else and not clhamydia? What should I do? Just can't really call or go in due to the holidays. I've never had this before and just want the symptoms to go away. Thank you!","Chlamydia , Men's Issues"
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/1984/no-sex-drive-at-25,No sex drive at 25,I'm 25 years old and I am in a very healthy relationship with an amazing guy who loves to have sex. Over the past few months I have found out that my sex drive just isn't there anymore. I feel so bad because my boyfriend wants to have sex with me all the time. I think my boyfriend is starting to get irritated with my low sex drive. Any suggestions on what I should do to increase my sex drive? I'm to young to have a low sex drive.,Women's Issues
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/2566/testica-pain-after-sex,Testica pain after sex,"I'm a 19 year man and i recently met this woman begun having sexual intercourse with her. She was the first one i've had sex with and i'm currently having problems ejaculating. I would just keep going for about an hour but however post intercourse i had slight sick-to-my-stomach feeling and pressure as if had to go to the bathroom really bad even though i didn't .so i went home and rested. The next day i noticed the veins to my left testical being inflammed and enlarged. I'm not sure why i couldn't ejaculate in the first place, it isn't her since I'm very attracted to her. That being said have no idea whats causing these problems but I'm quite worried about this and i don't want it to interfer with our relationship but most of all my heath which i always take pride in.",Men's Issues
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/436/19-secrets-women-wish-men-knew,19 secrets women wish men knew,;ctr=wnl-sxr-091516_nsl-promo-v_1&mb=AiZ3RfN65C9lS2Qn07evdGdEpmNqbUHLQUw2JJuNBSw%3d  So where are the pages of 19 secrets men wish women knew? Does WebMD have any? NOWHARD,
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/2514/peeled-skin-with-paper-cut-finger-can-accept-hiv-transmission,Peeled skin with Paper  cut finger can accept HIV Transmission,"Hello Doctor, I had sex with prostitute (Safe sex only-used Condom). Before sex I was touching her private part(Don't remember which finger i used).I did not do fingering (I think only if she cums then it means fingering was done,As far as I remember there was no fluid from her private part). The problem is I had PEELED/BROKEN skin due to cold with paper cut in my middle finger.I was just caressing her private part.As I dont remember which finger I used,is there possibility for HIV transmission if I had used Middle finger ? After coming back home I washed my hands,at that time in my middle finger there was small bleeding (But only after washing,not before that). Please help me and I am confused totally due to this.",
Digestive Health,https://messageboards.webmd.com/health-conditions/f/digestive-health/3176/blood-and-muscus-in-stool,Blood and muscus in stool,Went poop there was a lot of fresh red blood mixed with stool. It wasn't diahrea just loose. 30 mins later went again there was no blood or stool just mucus. What could this be and should I go to er or appt with doc? No pain or itching in my bottom. Just off and on cramping.  Off and on dizzy,
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/2819/my-penis-is-wrinkly-at-the-top,My penis is wrinkly at the top,"Hello. I am a 13 year old boy who recently tried to masturbate with a homemade sex toy. I used a glove and after I finished up, my tip got really sensitive. After 2 days, it got wrinkly and I think it's dried skin. After another day passed, it started turning white in the cracks. I dont know what is happening and I am scared that I might have a infection. Please help me.",
Digestive Health,https://messageboards.webmd.com/health-conditions/f/digestive-health/3140/burps,Burps,What does it mean when you burp and it taste like rubber,
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/2785/pain-on-testicle,pain on testicle!!!!,i am feeling pain on ri8 testicle? can it be due to gas probs?? i hav gastritis prob...,Men's Issues
Digestive Health,https://messageboards.webmd.com/health-conditions/f/digestive-health/2795/stomach-aches,stomach aches,"lately my stomach has been hurting really bad for the past few days. It hurts all in the lower abdomen area. Last night it got so bad that it hurt to move. I was constipated, and I felt like throwing up. What is wrong and how can I treat it?",
Digestive Health,https://messageboards.webmd.com/health-conditions/f/digestive-health/2888/extreme-nausea,Extreme Nausea,"Hello, On new years eve I consumed a lot of food some alcohol (not a lot). That night I woke up at 4 am and I began to vomit and had diarrhea. I vomitted around 6 or 7 times.  After a day or so the vomiting and diarrhea passed but I had severe heartburn/acid reflux/indigestion, and nausea. I began to take and tried out pepto-bismol, pepcid, and zantac. It has been around 11 days now and the heartburn is not as severe anymore. However my problem is that I have stomach pain which does not feel like heartburn and nausea almost all day long. It is at its worst around 1-4 Am when I am trying to sleep. I cannot eat anything without feeling nauseous so I have not been eating much, just 3-4 pieces of toast along with sips of water. I cannot lay flat on my side or my back without feeling nauseous. I have to prop my back up against the wall and it hurts my back. Even in this position, I feel nausea. I tried to take gravol for the nausea but it made me even more nauseous.  I feel like I am going to vomit 24/7 but i don't end up vomiting. I was wondering what I could do. Any feedback would be great. Thank you","GERD and Heartburn , Bloating"
