disease,postLink,postHeading,postContent,postTags
Pain Management,https://messageboards.webmd.com/health-conditions/f/pain-management/66222/fluid-in-bursa-sac,Fluid in Bursa Sac,"I have sharp pain on inside of my left hip near my groin anytime I try to lift my leg. Four years ago I actually had to have two of my bursa sacs drained (aspirated) with a needle. Once the fluid was drained, I felt instantaneous and complete pain relief. The Dr. used a screen that helped him direct where the needle was going. The procedure was painless and only took 15 minutes. My problem seems to have returned. Same symptoms. This has been an issue for me since Jan. 2018. My ortho Dr. Just doesn't seem to get it.  1. I need to find a Dr. In the Atlanta area that is equipped and is knowledgeable and capable if doing this procedure.  2. What type of Dr. does this procedure. Ie, what specialty? Any suggestions or feedback would be appreciated.","Chronic Pain , Hip Pain"
Pain Management,https://messageboards.webmd.com/health-conditions/f/pain-management/61568/spinal-injection,Spinal injection?,"Soliciting opinions. I experienced a C6-C7 slipped disc about two months ago. It severely impinged the left foraminal nerve and caused severe radiculopathic pain in my arm and shoulder. Baseline maybe 5-6 level pain escalating to 8-9, especially at night. I finally got in to see a neurosurgeon two weeks ago. He wanted to wait another six weeks before scheduling surgery, and in the meantime, prescribed gabapentin, PT, and a traction collar. He also referred me to his pain doctor for a spinal injection. He said that because I have such a concrete and easily identified injury, the injections would be especially likely to relieve the pain. Good news: The gabapentin, PT and traction collar (plus time) have worked! The pain is down to maybe a 1-2, maybe bumping up to a 3-4 at the end of the day when I need to take another gabapentin. I've even been able to start running again, which is doing wonders for my sanity. Question: Should I still get the injection? It potentially would allow me to get the pain down to zero and stop the gabapentin, and if (as I suspect) the disc is healing, everything might be healed once the injection wears off in a month or two. On the other hand, things are going well now, so maybe best not to upset the proverbial apple cart. Those injections do carry a small risk of complications or potentially making things worse. Thoughts?",Neck Pain
Pain Management,https://messageboards.webmd.com/health-conditions/f/pain-management/41311/low-back-pain-on-prolonged-sitting,Low back pain on prolonged sitting,"I'm 21 years old. I have had scoliosis surgery at upper lumbar region 8 years ago. I didn't feel any problem after that. But recently, like for 2 weeks I'm having low back pain when I sit for a hour and I feel for an urge to lie down. My Xray report says lordotic curve distortion due to muscle spasm. Is it a severe condition? I'm worried about it a lot. Thanks in advance",Back Pain
Sleep,https://messageboards.webmd.com/health-conditions/f/sleep/928/news-flash-sleep-apnea-may-boost-risk-for-post-op-problems,News Flash: Sleep Apnea May Boost Risk for Post-Op Problems,"If you have sleep apnea (or suspect you may have it), you should take the time to read this new news story:    What do you think about this news? Sign in (or sign up to become a WebMD member -- see link in the upper right corner of this page) and share your thoughts.","Snoring , Apnea"
Pain Management,https://messageboards.webmd.com/health-conditions/f/pain-management/19146/opioids-for-chronic-pain-management,Opioids for Chronic Pain Management,"What should happen when someone who has been on long term opioid therapy becomes opioid tolerant? Is it ok to increase dosages, go on to stronger medications? I would prefer not to receive judge mental replies about sucking it up, just put up with it etc. Tolerance is a natural physiological response that is not good or bad, and it happens with other medications as well. it seems like a real dilemma for people in real pain who rely on opioids to have some quality of life.","Knee Pain , Chronic Pain , Headaches , Neck Pain , Hip Pain , Medication , Migraines , Back Pain"
Sleep,https://messageboards.webmd.com/health-conditions/f/sleep/774/newsflash-fitful-sleep-may-take-toll-on-older-women-s-hearts,Newsflash: Fitful Sleep May Take Toll on Older Women's Hearts,New research suggests a link between lost sleep and an increase in risk factors for heart disease and stroke for women during menopause.  Click here to read more:    Reply and tell us what you think about this news. Do you have trouble sleeping? How do you make sure that you get enough sleep?  Here are ways to treat sleep problems during menopause:    Sign in (or sign up to become a WebMD member -- see link in the upper right corner of this page) and share your thoughts.,Insomnia
Sleep,https://messageboards.webmd.com/health-conditions/f/sleep/944/my-childs-sleep,My childs sleep,"I have a 3y/o son who has trouble going to sleep and not sleeping long enough. It started before he was a year old, after his first two sets of vaccinations. His pediatrician says its not from the vaccines, but I don't know why else its happening. It is like his brain cannot relax or shut down long enough for him to get the sleep he needs. I currently give him a homeopathic remedy and melatonin to get him to sleep, but I know there has to be something else that will work better. Can anybody help?",
Sleep,https://messageboards.webmd.com/health-conditions/f/sleep/873/can-t-sleep,Can't Sleep?,Having a hard time getting to sleep (or staying asleep)? These habits could be to blame:    Sign in (or sign up to become a WebMD member -- see link in the upper right corner of this page) and share your thoughts.,Insomnia
Sleep,https://messageboards.webmd.com/health-conditions/f/sleep/977/can-t-wake-up,Can't wake up.,"My job has me on afternoon and day shifts. Sleep is difficult, but not impossible. Getting enough sleep is non-existent. I average 5 hours a night. I have this problem about once every 4 - 5 months where I cannot wake up all day long. I get up, use the restroom and go back to sleep. I can't stay awake. If I do attempt to stay awake, it gets dangerous, because I will fall asleep standing up, walking, whatever I'm doing. Am I just playing catch-up on these days?",
Sleep,https://messageboards.webmd.com/health-conditions/f/sleep/934/waking-up-exhausted-and-nothing-helps,Waking up exhausted and nothing helps,"I feel like I've exhausted every outlet (no pun intended). No matter what I try to do I always wake up exhausted. I always get between 7 and 8 hours of sleep a night, I don't use electronics or watch tv in the two hours before going to bed, I don't drink caffeine after 1 pm, I got blackout curtains to keep all outside light out of my room, and I even bought a new mattress and pillows. NOTHING is helping. Has anyone ever been through something like this? It's hard to function in the morning because I'm so tired. I feel ok in the afternoons but then steadily get tired again as the work day winds down. Any advice is extremely appreciated.",
Mental Health,https://messageboards.webmd.com/health-conditions/f/mental-health/25710/chronic-ptsd-depression-and-failure-to-launch,"Chronic PTSD, depression, and failure to launch.","I don't even know how to start this post. In 2013, I was diagnosed with chronic PTSD. My symptoms began when I was 10 years old, and I am now 25. I've seeked counselling but in my area there aren't many therapists that I'm comfortable talking with.  My immediate problem is my depression. I've entered a slump and can't seem to shake it. As I am getting older I'm feeling a lot of pressure to start my life, so I can be independent. But with my symptoms and my depression I'm finding it extremely difficult to begin. I need a job, I need to go to school and I don't even know where to begin in all honesty.  I am afraid of failure, I am afraid of being vulnerable, I am afraid of dying, and I am afraid it will all be wasted on me.  I don't know what to do anymore. Traditional counselling isn't working and I don't have a support system. To be honest, I don't even know how to ask for help. But on here I have anonymity, so I feel somewhat comfortable.","Anxiety & Panic Disorders , Depression"
Sleep,https://messageboards.webmd.com/health-conditions/f/sleep/1220/do-you-snore-or-sleep-with-someone-who-does,Do You Snore (or Sleep With Someone Who Does)?,Snoring is a common condition that can affect anyone. But could your snoring be putting you at risk for serious health issues?  Click here to learn more about what causes snoring and the health risks associated with it:    Feel free to share your stories. How has snoring affected your life?  Be sure to log-in or or sign up to join the conversation. We want to hear from you!,"Snoring , Apnea"
Mental Health,https://messageboards.webmd.com/health-conditions/f/mental-health/25476/good-morning,Good Morning,"Hum Sunday , another morning waking up with so many side effects .. The effect of anti depressants.. I have tomany to list. I suffer from chronic pain , nerve pain , depression, anxiety . Im at my wits end . A life time of anti depressants that course more trouble than there worth.. After all these years all the scientists have formulated a drug that courses depression anxiety , & many more debilitating side effect .. worse than the illness .. then after years of tolerating , juggling & surviving years these high risk medications because there is nothing else I then reach an age were my metabolism slow up to find that the side effect that I juggle like balls in the air have fallen to the ground because the side effect are much , much worse untolerable to say the least..  I at the end of my road .","Anxiety & Panic Disorders , Depression"
Mental Health,https://messageboards.webmd.com/health-conditions/f/mental-health/25732/forgot-to-take-dose-of-zoloft,Forgot to take dose of Zoloft.,My wife forgot her morning dose of Zoloft. Should she wait until tomorrow morning and double up? Or just take the normal dose then? Thank you.,"Anxiety & Panic Disorders , Depression"
Mental Health,https://messageboards.webmd.com/health-conditions/f/mental-health/8008/mood-disorder-diagnosis,Mood Disorder diagnosis,"I am currently seeing a CNRP who specializes in the mental health field.  She is treating me for diagnosed Generalized Anxiety Disorder, as well as an UN-diagnosed mood disorder. She has told me that it is not Bipolar. I think it is the more mild Cyclothymia - which I mentioned to her - but she is not concerned with giving me a specific diagnosis for the mood disorder. She that I should not get too hung up on putting a name to it & that we really just need to work on treating the symptoms. Is this a good thing or a bad thing? I thought it would be important to have an exact diagnosis? She has me taking Lamictal for stabilizing my moods & it is helping a lot. I just wanted to ask your opinion on a professional choosing to treat the symptoms without a specific diagnosis.","Anxiety & Panic Disorders , Depression , Bipolar Disorder , Personality Disorders"
Mental Health,https://messageboards.webmd.com/health-conditions/f/mental-health/25611/best-friend-is-judgmental,Best friend is judgmental,"So I have a best friend that I work with and we both are going to nursing school together. I have major depressive disorder and anxiety that I have fought with since I was a child. I see a therapist and am trying to find a medication that works. Well my anxiety and depression have been crushing since I started school. I cut, I'm having panic attacks, thoughts of suicide, and cry at the drop of a hat. My therapist decided that I need to cut back my hours at work to 36 hours (I have been working 52 hours or more a week.) Ever since that my best friend has been nasty. She called me a brat and spoiled. She says she feels sad too but she toughs it out. She makes rude remarks and just nit picks at me. She says I've always had this so she thinks I'm just using my illness to get out of work. I already feel bad enough, but she makes me feel worse. I am used to people telling me this usual stuff, I've heard it for years. But hearing these things from your best friend just feels different. Any suggestions on what I should do, or at least how to toughen up so her comments don't hurt?","Anxiety & Panic Disorders , Depression"
Mental Health,https://messageboards.webmd.com/health-conditions/f/mental-health/26009/medicine,Medicine,"Back in February they found microscopic hematuria in my urine. They sent me to a urologist. They did a rectal exam, psa blood test, a CT scan of my abdomen and pelvis area, and a cystocopy. They said they found nothing. That I was cleared of cancer. Then every time I have a pain or weird symptom I think they missed something and run to the doctor. They say I'm suffering from health anxiety and put me on effexor xr 37.5mg. They upped it to 75mg a few weeks ago. I've been having dizzy spells and even fainted once. Do you think this could be from the effexor or did they miss something. I've also had 2 ct scans of my head and 3 chest xray. I'm also a diabetic. I'm on amlodopine, motoporlol tartare, losartan potassium, metformin and simbicort inhaler. Do you think any of these could be causing the dizziness and fatigue? Or do you think they missed something?","Anxiety & Panic Disorders , Depression"
Pain Management,https://messageboards.webmd.com/health-conditions/f/pain-management/66516/pain-in-shoulder,Pain in shoulder,"Hi people,  Got some really bad shoulder pain when I lift my arm up over my head, it stings and burns every time really deep inside. It's so bad I can't sleep and has been happening for 2 months now. Any ideas on what to do?",Chronic Pain
Pain Management,https://messageboards.webmd.com/health-conditions/f/pain-management/28811/lower-back-fusions,Lower back fusions,"I've had back pain most of my life, it started after a industrial accident, I was 26. I went through 4 back surgeries, 2 of them fusions, one antior and one postier, with left hip bone Graff. None really helped at the time. After time my lower back seem to fix its self, but it was several years. Now it bother me very little, but I now have upper back, and neck pain. I'm now 66, year old, Been on methadone for 30 years, until they passed these laws about opioids, seem like all the doctors have cut lots of people off and sending to other places. I went from 120mg a day to 40mg a day over a few month, then doc dropped me off 40mg stone cold. I went through awful withdraws, for over a week, along with all the normal pain. Found a doc, that prescribed Oxy 15mg 4 times a day, last around 2 hours then right back to the hard pain. Tried epidural injection, PT, stimulator's, none has helped. Anyone else been affected with the opioid crises ?",
Pain Management,https://messageboards.webmd.com/health-conditions/f/pain-management/63577/nerve-pain-episodes,Nerve pain episodes,I’ve had nerve pain episodes for 3+ years. Been to many Drs. With no answers. My episodes are extreme nerve pain and then the nerves burn and over heat me. Has anyone ever heard of anything like this.,Chronic Pain
Pain Management,https://messageboards.webmd.com/health-conditions/f/pain-management/63656/back-pain,Back Pain,Has anyone tried The Laser Spine Institute ???,"Migraines , Back Pain"
Pain Management,https://messageboards.webmd.com/health-conditions/f/pain-management/61522/strange-back-pain,Strange back pain,"Hi, about once a week i get a terrible burning, stabbing pain in my back that lasts for a dreaded 10 minuets the only way i have found to alleviate the pain is to be in the downwards dog yoga position. The pain is across the top of my back, i have RND if that matters, please someone help",Back Pain
Pain Management,https://messageboards.webmd.com/health-conditions/f/pain-management/1233/back-surgery,Back Surgery,"I had a spinal fusion in February, 2016. I wish I had never had this done. I still have back pain not to mention the nerve pain in both legs. My surgeon has been no help in managing my pain!! I hope that in the event you are considering this surgery that you will not let any surgeon touch you!!",Back Pain
Pain Management,https://messageboards.webmd.com/health-conditions/f/pain-management/62731/re-what-to-do-with-the-diagnosis-failed-back-surgery,"Re: What to do with the diagnosis, ""Failed Back Surgery?""","I was hit while by a car while riding my bike back in 2015. I've had 3 back surgeries now on L4,L5 to correct the problem. I'm in far more pain than I was before the surgeries. The quality of my life has decreased significantly. Before it was discovered that I could not carry through with the my job duties, I resigned from my job recently. I have never quit healed from the day of the accident. I was referred to a pain management dr. However, I do not trust my pain mgmt dr. Although he is prescribing pain pills to me at this time, I feel like he is pushing the Spinal Cord Simulator on me. I'm afraid it's only a matter of time before he stops prescribing medicine to me because I keep saying no to the spinal cord simulator. I'm living a nightmare. My diagnosis is ""failed back surgery."" I take Gabapentin 600 mg 3x a day with Zohydro twice a day. That's barely enough to calm my nerves through my legs and ease the pain in my back. When really all I want is to be off everything entirely. I just don't feel the Spinal Cord Simulator is the answer for me. Is there anyone out there in my situation? If so, can you share if you've found a solution? I'm 39 years young with 3 children. As my username implies, I want to run again.","Knee Pain , Chronic Pain , Hip Pain , Medication , Back Pain"
Sleep,https://messageboards.webmd.com/health-conditions/f/sleep/449/cannot-sleep-for-over-3-hours-at-a-stretch,Cannot sleep for over 3 hours at a stretch,"For several years, I have interrupted sleep with no reason but when I wake after 2 to 3 hours, I have to pee. I do not have much liquid in the evening.  I do not have sleep apnea because I've been through a sleep study. I have been told that I have nauchturia though. I am always dreaming pleasant and vivid dreams each time I go back to sleep. I fall back to sleep pretty quickly each time. However, when it is time for me to get up in the morning, I am exhausted. About 20 years ago, I was told that I have chronic fatigue syndrome. I am in my last half of 70s but have a good outlook on life and am a cheerful person so it isn't depression.  I have taken prescription sleep aids, anti-depressants, over-the-counter sleep aids and nothing really helps. I try to take natural medicines but have not figured out which one works for me. So does anyone know what I can do to change this pattern of sleep?",Insomnia
Sleep,https://messageboards.webmd.com/health-conditions/f/sleep/524/narcolepsy-and-behavioral-issues,Narcolepsy and behavioral issues,I understand that Narcolepsy is not usually dx in young children. However can Narcolepsy have an effect on unfavorable behaviors? Such as the behaviors in ODD. (Oppositional Defiance Disorder).,
Sleep,https://messageboards.webmd.com/health-conditions/f/sleep/685/exercises-for-sleep-apnea,exercises for sleep apnea,effective exercises for sleep apnea,
Sleep,https://messageboards.webmd.com/health-conditions/f/sleep/389/why-some-women-find-good-sleep-tough-to-get,Why some women find good sleep tough to get...,"If you're a woman and you have trouble staying asleep, this study may shed a little light on why (hint: it has to do with your internal, or  circadian, body clock):    Thoughts?",Insomnia
Sleep,https://messageboards.webmd.com/health-conditions/f/sleep/412/very-deep-rem-sleep,"Very deep, REM sleep","Hi, I am a 60-something yr. old woman. 10 yrs. menpausal. I take several medications that, unfortunately, make me sleepy though I am more or less used to them. I also take Ropinerole for RLS. I generally sleep from about 12:30am 'til around 10:30am, so I'm actually getting, perhaps, too much sleep? From early morning on, I tend to sleep very hard, almost what they call a ""dead sleep"", which sometimes scares me. Also, during this period have very intense, profound dreams. Any insights? Would love to try to get up earlier, but have a very hard doing it.",
