disease,postLink,postHeading,postContent
Pregnancy,https://www.drugs.com/answers/mini-period-7-days-late-pregnant-835964.html,"I'm on the mini pill and my period is 7 days late, Could I be pregnant?","Before I started the mini pill, I was on the combination pill. I was off that for the inactive pills plus 3 days after I was suppose to start the new pack. I had unprotected sex within that week. I started my mini pill pack 3 days after I would have started my new pack. I had unprotected sex within that week to. I had slight spotting a week before my period but it was just like a couple days and it went away. I took at at home test to but it came up negative but that was 4 days after my missed period. Now its up to day 7. I don't know what to do. "
Pregnancy,https://www.drugs.com/answers/after-taking-morning-after-pregnant-he-ejaculated-831703.html,After taking the morning after pill can I get pregnant if he ejaculated in me more than once?,Me and my fiance had up protected sex last Thursday I ended getting and taking the morning after pill Saturday. When Sunday night came we had sex and again he ejaculated in me two more times can I get pregnant 
Pregnancy,https://www.drugs.com/answers/plan-period-negative-pregnancy-test-808091.html,"Took plan b, no period, and negative pregnancy test?","I had sex about the day my period ended, and the condom broke. So I bought plan b, and about a week later I got something resembling a period for 2-3 days, so it was shorter than usual. Since then I have had nothing. It's been over 5 weeks since my mini period thing so I took a pregnancy test and it said negative, but I still don't have my period. Is it just the plan b and stress, or was the pregnancy test a false negative or something else? "
Pregnancy,https://www.drugs.com/answers/destroy-3-months-prgnancy-injection-812529.html,How to destroy 3 months prgnancy with injection?,Witch tablets or injection for destroy pregnancy my girlfriend wants clear 3 months pregnancy on injection or tablets 
Pregnancy,https://www.drugs.com/answers/plan-unprotected-sex-after-pregnant-808589.html,Im took plan b pill and had unprotected sex after can I get pregnant?,I took a plan B pill a week ago and i started bleeding two days ago like if i were on my period. So me and my bf had sex today in the morning i was obviously bleeding while we had sex. Is there any chanses of me getting pregnant still? 
Pregnancy,https://www.drugs.com/answers/how-can-i-find-a-doctor-who-prescribes-subutex-to-420625.html,How can I find a doctor who prescribes subutex to a pregnant women?,I am 19 weeks pregnant and i have been taking suboxone the whole pregnancy. my problem is all the doctors that i speak to tell do not stop taking the suboxone but at the same time none of them are able to prescribe me the medicine. all they do is recommend that i go to a methadone clinic and i am not comfortable with that at all. i do not want to stop taking 4-8mg of suboxone to start taking 30mg of methadone. these doctors are not living my life and i have done a lot of research on methadone and i dont like anything about it and more importantly i do not want to put my baby through that nasty drug suboxone is bad enough and i just feel horrible about the choices that i have made. 
Pregnancy,https://www.drugs.com/answers/2-weeks-missed-depo-shot-unprotected-sex-alot-2663056.html,It's been 2 weeks that I missed my last depo shot..and had unprotected sex alot..can I be pregnant?,I still haven't had a period... and don't have any pregnancy symptoms... I'm just really worried that I might be pregnant... please help me.. 
Pregnancy,https://www.drugs.com/answers/first-depo-provera-shot-before-period-normal-2413770.html,If I got my first depo provera shot before I got my period is it normal for me to just not get it?,"I received my depo shot before I got my period and I haven't gotten it yet, but I'm getting horrible cramps and feeling like I may puke before I go to sleep every night. But I just am wondering if it would be normal for me to just not get my period since I get the depo shot before my period started or if I may be pregnant? (Because there is also a slight possibility I may be pregnant but didn't realize until after I got my depo shot... but my partner did not ejaculate at all.) So if someone could help that'd be great!!! "
Pregnancy,https://www.drugs.com/answers/plan-make-boobs-sore-1211624.html,Plan B - Does it make your boobs sore?,I took July 4 and didn't have any side effects until July 8 my boobs started to get sore. Is this normal or could I be pregnant? 
Pregnancy,https://www.drugs.com/answers/pregnancy-many-people-fell-pregnant-nexplanon-1195315.html,Pregnancy - How many people fell pregnant on the nexplanon implant I had a miscarriage after being?,... covered for? 
Pregnancy,https://www.drugs.com/answers/pregnancy-1-effective-22-hours-intercourse-sex-1143619.html,Pregnancy - is 1 i-pill is effective within 22 hours of intercourse / sex and if there is no?,... periods? 
Pregnancy,https://www.drugs.com/answers/pregnant-day-6-hours-late-missed-period-today-706318.html,"Could I be pregnant? Took pill one day 6 hours late, missed period today?","Hi, So I am on ortho-tricyclen and I've taken it regularly and at the same exact time all month--except for one day I left it at home during a long bike ride and took it 6 hours late. That weekend my boyfriend was visiting, he did not fully cum in me any of the times except for once he may have just a little bit. I usually get my period today, in the morning, and it did not come. I am having PMS symptoms (acne, diarrahea, sensitivity), but no period yet. I almost always get it on the Tuesday of when I start taking my inactive pills, although I did start it on a SUnday once after i took the pill early a few times in a row because of a time change that messed up my schedule a bit. Could I be pregnant? I'm really horrified and nervous as I really do NOT want to be pregnant right now. "
Pregnancy,https://www.drugs.com/answers/how-often-do-women-become-pregnant-on-the-first-291616.html,How often do women become pregnant on the first cycle of clomid?,
Pregnancy,https://www.drugs.com/answers/can-i-take-zofran-if-im-pregnant-110363.html,Can I take zofran if I'm pregnant?,I'm pregnant will it be ok for me to take it 
Pregnancy,https://www.drugs.com/answers/8-days-late-period-negative-pregnancy-test-682152.html,I am 8 days late on my period with a negative pregnancy test?,I have been on birth control for 3 months now. 
