disease,postLink,postHeading,postContent
Pain,https://www.drugs.com/answers/cymbalta-2-days-stopped-feel-good-2800837.html,Took Cymbalta for 2 days and stopped and dont feel good?,"Hello my Husband was pescriped Cymbalta where he has pain everywhere and his head is spinning all the time he is not suacidal . He started taking the pills saturday night 60mg he took the pill sunday morning and again supper he had lots of side effects like high blood pressure , pain in his left side face could not sleep nightmares and more. He stopped taking the pill monday morning i called the pharmachoice and they just said thats the side effects what come with the pill will go away. No he is off this pill since sunday at suppertime is when he took the last one and he slept better last night but his head is like shut off. Just wondering how long this will last like this ??? "
Pain,https://www.drugs.com/answers/llq-abdominal-pain-dizziness-faintness-leg-pain-2799871.html,What can cause llq abdominal pain with dizziness and faintness with leg pain and left shoulder pain?,what can cause llq abdominal pain with dizziness and faintness with leg pain and left shoulder pain? my 12 year old daughter has been to the er twice to be accused of faking. she is in a lot of pain and i am looking for suggestions to demand testing for 
Pain,https://www.drugs.com/answers/nuvaring-severe-abdominal-pain-after-eating-2654623.html,NuvaRing - Has any one ever had severe abdominal pain after eating while using the NuvaRing?,
Pain,https://www.drugs.com/answers/skyla-partner-feels-idu-strings-feel-pain-sex-2921000.html,Skyla - What should I do if partner feels the IDU and strings and I feel pain during sex? ???=?,"Hello I had skyla inserted on August 13, 2015 But, .I've noticed some pain during sex and my partner told me he feels the IDU and feels like if is scratching the top of the penus and also said he feels the strings from skyla, want to know what does it means? if is normal?? or if should I get it removed ?? Thanks in Avance for your help "
Pain,https://www.drugs.com/answers/5mg-cialis-every-day-days-moderate-headache-2910672.html,"I took one 5mg cialis every day for three days ,i got a moderate headache and a stuffy nose and back","pain ,so i stopped it and the headache is still there now after 48 hours of stopping do you know if this is normal and when will this headache go? "
Pain,https://www.drugs.com/answers/drug-similar-urelle-generic-medicare-part-cover-2907369.html,Is there another drug similar to Urelle or is there a generic? Medicare Part D doesn't cover Urelle?,... I have interstitial cystitis and need Urelle to deal with bladder pain during flares 
Pain,https://www.drugs.com/answers/high-high-blood-pressure-high-colestrol-lips-2721132.html,I have high high blood pressure and high colestrol. My lips have been swelling up with no pain?,My lips are swelling up for one day here three days there.I do not take my colestral medicine 
Pain,https://www.drugs.com/answers/amitriptyline-low-dose-amytriptyline-chronic-pain-2921434.html,Amitriptyline - Can low dose amytriptyline for chronic pain mask the presence of chronic obstructive,... sleep apnea? 
Pain,https://www.drugs.com/answers/anyone-experience-severe-sweating-lower-back-pain-2889456.html,Does anyone experience severe sweating or lower back pain while taking Norco's?,"I was diagnosed with RA and osteoarthritis in Dec '14. I take 6 mx a week and just recently given embrel injections weekly. I still have to take a lot of pain meds. I take 3- 7.5 Norco's before I can get out of bed. I sweat profusely all morning. Around 2-3 pm I have to take 2 more Norco's. I still have a lot of lower back pain especially in the evening. I can't take Norco's after 3pm because they make me hyper and interfere with my sleep, which I take 3 mg of Xanax for. I'm thinking of stopping the embrel, I don't feel any differently since I've been taking it. I have an appointment with pain management but I'm not sure if I want to go that route. Does anyone else have these problems?? If so how do you cope?? "
Pain,https://www.drugs.com/answers/norflex-suffering-severe-anxiety-suffer-splitting-2878393.html,"Norflex - Suffering severe anxiety, I suffer splitting tension headaches, neck pain, shoulders and?",... back ache.? 
