disease,postLink,postHeading,postContent
Osteoarthritis,https://www.drugs.com/answers/friends-newbies-anyone-weird-side-effects-655170.html,"Hi friends and newbies, Is anyone having weird side effects from Gabapentin? Will this go away?","I'm whipped into a frenzy and feel as if I may spin off into orbit at any moment. I also am experiencing cognitive problems, my memory is so bad that family members have actually noticed that lovely side effect. (watched a film last night and my hubby said that it was the second time we watched it and I didn't recall it!)  I must 'hunt' for words which is really annoying, as I used to have a vast vocabulary. I now feel like a total eejit, which affects my self esteem.  (just had to sit here for an entire minute, probably, to hunt for the word ""annoying"".) That is a common word and I'm a bit upset about this. WILL this go away after continued use for a while, or am I stuck feeling stupid??? (some of my friends here may argue that I was quite the eejit even before doc upped the dose, funny, but true) OOps, almost forgot (no surprise there) that I am having terrible joint pain and insomnia. I could NOT sleep last night, so I took two benadryl just to get a few hours of sleep. I feel quite ridiculous, these problems, comparitively speaking, are of minor significance, in the grand scheme of things, but they are quite bothersome to me. Thank you in advance, to any and all responders, Lara "
Migraine Prevention,https://www.drugs.com/answers/100mg-trazadone-started-taking-300mg-gabapentin-3373447.html,I take 100mg of trazadone and I just started taking 300mg of gabapentin in the evening at?,"bedtime and I am not waking up until 2:00pm in the afternoon. I was given the gabapentin for chronic headaches because nothing would work to stop them, not even Botox. I am really concerned because the plan is to increase my gabapentin up to 1 in the am and 2 in the pm and if it is causing me to sleep all the time I don't want to take it. Does anyone have any suggestions? Is there anyone out there with chronic headaches who has gotten relief from something else? "
Allergic Reactions,https://www.drugs.com/answers/allergic-reaction-tramadol-stop-itching-707749.html,"I had a allergic reaction to Tramadol, how can I stop the itching?",
Obsessive Compulsive Disorder,https://www.drugs.com/answers/sertraline-anyone-tremendious-weight-gain-3047629.html,Sertraline - Anyone seen tremendious weight gain ?,"This medication gave me my life back. No more panic and anxiety attacks while driving. No sudden out burst of anger. No OCD, But... I put on about 60lbs. I read somewhere that this an Zoloft do block the messages sent from your stomach and brain that you are full. I have read here mostly people losing weight but not gaining weight. Currently on 75mg daily, forced on Lipitor, and Sex just forget that. I am slowly coming of this drug only because of weight gain. I want to know if weight gain is a side affect or I am just one happy SOB that just loves to eat. "
Osteoarthritis,https://www.drugs.com/answers/you-cymbalta-2-pills-daily-first-script-2-pills-561692.html,"How do you take cymbalta, 2 pills daily, 1st script - 2 pills night, next script  1 twice a day??","when do most take their pills, day, night, 2 pills at a time or 1 pill twice a day, morning and evening? i am also on the Butrans Pain patch for osteoporosis pain. my recent bone density test -4.6 also on Buspirone 2 tablets twice daily and various other drugs for COPD. I was prescribed Cymbalta for osteoporosis pain but have also experience a better attitude, i wake up with goals for the day, b/4 i woke up depressed with no ""gumpsion"" to do much of anything. "
Osteoarthritis,https://www.drugs.com/answers/augmentin-es-600-severe-knee-joint-pain-after-611052.html,Does Augmentin ES-600 cause severe knee / joint pain during and after the prescribed course?,Given Augmentin ES-600 for 10 days for Cellulitis in lower leg; now have changed Antibiotics and have had severe pain in both knees in all positions. Is the knee pain from the Augmentin?? 
Migraine Prevention,https://www.drugs.com/answers/debilitating-nausea-topamax-bad-xr-form-trokendi-3340667.html,"Debilitating Nausea with Topamax.. is it just as bad with XR form, trokendi?","I am 26 y/o female and a headache/migraine sufferer for over 10 years. I was put on topamax years ago and had severe, debilitating nausea. Moving a finger or eyeball would worsen nausea. I would pretty much (figuratively speaking) be paralyzed by how bad the nausea, loss of appetite was. Over 6 months to a year, i lost 25-30lbs, and i was 125 to begin with, 5'3"". My doctor begged me to continue taking it, as she was sure the side effects would subside leading to relief  And they did. I had significant releif and decrease in migraines/headaches for 3yrs or so. I was in between jobs beginning of 2017, without insurance and was not able to obtain my topamax refill. But I had been on it so long, i figured getting back on it would be no issue. WRONG! When i restarted low dose with intention of tapering back up, the nausea was WORSE. I tried to stick it out for a few days but it was unbearable. Zofran 8mg wouldnt touch it. So question is.. has anyone else experienced debilitating nausea as side effect, anything that helped it? I just got referred to a new neurologist and she wants to begin botox and prescribed Reglan to try for the nausea i get with migraines. I am seeing Trokendi XR, an extended release topamax, and wondering if anyone who experienced the severe nausea on topamax, has tried the XR form, and had less nausea? Topamax was the only thing that made a difference... and i even tried taking 7.5mg 1x day for a week, then 2x a day for a week, so on and so forth. The dose that had me stable was low, at 50mg twice a day. I just received an rx for reglan.. so im wondering if I could try to get back on topamax if reglan decreased nausea whereas zofran made NO difference. or if maybe a 4-7 day trial of Trokendi XR is worth a shot. Botox is my last shot... and benefit of improvement outweighs risk.. but if i dont have to, i dont want to. Please help with any pointers, experience, stories.. I am a nurse myself and stuck. This is beginning to negatively affect my ability to function efficiently in my job. Sorry for long post, just found this support group! Fingers crossed!!! Thank you, -Carley "
Osteoarthritis,https://www.drugs.com/answers/you-brains-new-condition-523824.html,Vasculitis of the brain - will it increase my chance of stroke ?,"Ok all you brains out there! I have a new condition, & I want someanswers my doctor did not give me. You all know I have Lupus, failed back surgeries, Fibromyalgia, mitral valve leak, A-fib,osteoarthritis, osteoporosis, & the new one is tadah:high blood pressure! Has always been very low, was given my stress test in Dec. & echocardiogram=ok. BP was, and usually is low like 110/60. Haven't felt well & for some reason decided to check it. It was 190/100. That was yesterday & still today 190/100. Seen my doc yesterday & put on Furosimide which according to this site interreacts moderately with everything else I am on! What I haven't mentioned is I also have vasculitis of the brain. ok, no smart alec remarks about that! What I want to know is if anyone knows if that raises my chances of a stroke any sooner with the deep white matter vasculitis? If I'm not on tomorrow you'll know what happened! "
Osteoarthritis,https://www.drugs.com/answers/does-anyone-have-any-feedback-after-using-cymbalta-490893.html,Does anyone have any feedback after using cymbalta?,
Allergic Reactions,https://www.drugs.com/answers/tramadol-liver-failure-person-cirrhosis-liver-571985.html,Can tramadol cause liver failure in a person with cirrhosis of the liver or an elarged liver?,"My mom has had cirrhosis of the liver for 3 years. She was given tramadol once before and had 3 grand-mal seizures. Her DR said it was an allergic reaction. The nursing home she is in now has been giving her tramadol around the clock for 6 days even though her medical records state she is allergic. The nursing home had to call 911 because they thought my mother was having a stroke because of sudden slurred speech and loss of coordination. A CT was done and her liver is now in complete failure and enlarged as well as her spleen. Her ammonia level was 61 when first tested at the ER and now is at 127. She has had episodes of encephalopathy when her ammonia level is high and seems like she is going through it again. Until yesterday, medically, she was pretty stable for a person in her condition. Is it possible tramadol could have caused all these news problems and medical decline? Also, what can I do about the nurse and staff DR at the nursing home giving my mother a medication that it clearly says in her records she is allergic to? "
