disease,postLink,postHeading,postContent,postTags
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/78893/yeast-infection-or-bv-or-both,Yeast infection or BV? Or Both?,"(this is graphic) I got a nasty yeast infection, I had it for a few days and it's still not going away. All the classic symptoms, the cottage cheese except it's not discharge, it's inside my vagina and a little bit comes out but not in my underwear (sorry this is soooo graphic ew) It was red and itchy and painful and I took a canestan (yeast infection) pill and used the external cream, and nothing helped. Today, after 3 days, now it's so itchy and SMELLS like FISH! It didn't smell the first few days it was odorless. Could I also have BV at the same time? I am planning to get the internal cream to insert inside..I really don't want to see a doctor ughh, is it possible to have both or do yeast infections ever have a fishy smell? has anyone else seen this before? vagina filled with cottage cheese like white stuff (it actually looks like wet shredded toilet paper) but it's not coming out as a discharge it's just inside when I stick a finger up there my finger comes out covered in it. It's only starting to smell now and very itchy just in the past few hours, I have not stuck a finger up there yet to see what is happening.",Women's Issues
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/79572/red-spots-on-underwear-line-and-down-groin-and-buttocks,Red spots on underwear line and down groin and buttocks,I’m not sure what this is but if someone could help that would be great. The spots don’t itch they aren’t raised and do not blister like you typically see the herpes pictures. I went to see a dr and she said it wasn’t hsv2 after looking at it but she never tested me. It’s been recuring like every few weeks for the last 2-3 months.,Genital Herpes
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/77379/first-outbreak,First outbreak,"This week I am having my first hsv2 outbreak. It's awful. It's on my junk, my mouth, and in my nostrils. I feel terrible about myself. I feel gross and ashamed. I feel like I should never kiss my child again because I don't want to ruin his life.  I made the stupid decision to fall in love with someone who has hsv2 (on penis only). I thought we could be safe and I wouldn't get it. I was stupid, and terribly wrong. We've only been together 8 months, and my outbreak is causing a lot of stress. I was able to overlook his condition and not care about my own wellbeing. It didn't seem like a big deal with only he was dealing with it. His is very mild. Just one or two bumps and is gone in a week. Mine seems to be a lot more aggressive.. I regret everything. I can't overlook my own condition, ...and now I feel more damaged than ever.  I really just need some advice and support on how to live my life without feeling like I just shouldn't.",Genital Herpes
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/77565/sti-help,Sti help,Hi my partner and I have been sleeping together. We both have one had 1 previous partner. My last relationship was over a year ago. We slept together whilst on my period. He now has pimples and pain in his private area. I have never had symptoms of any sti but he blames me for giving him an sti. Can this be possible,
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/76276/please-help-identify-these-bumps-rash,Please help identify these bumps/rash,I’m freaking out. I’ve been itching a lot and did a self exam today to find all these little bumps. It’s like there’s a row of them on each side of my labia. There are also bumps in the middle that don’t itch as much? I don’t know if they’re normal or not. I can’t afford a doctors visit right now. There’s no smell and I can some white discharge yesterday but not so much today. Could someone else take a look? Does it look like herpes? Hpv?,"HPV/Genital Warts , Genital Herpes"
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/77567/is-this-warts,is this warts?,I happen to have a cut when having sex with my partner since he has ba big d**k and we did not use any lubricant and after the scars healed it looks like this. Could someone identify if this is HIV warts? Please im getting paranoid,"Women's Issues , HPV/Genital Warts , Genital Herpes"
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/77601/herpes-anxiety,Herpes anxiety,"I newly have genital herpes as of three months ago. I've only had a couple outbreaks since the first outbreak. I had oral sex with the person who gave it to me, but never got a cold sore on my face. Now I'm in constant fear at anytime I still could. Any sensation on my lips at all that's unusual or any tiny mark, I have a panic attack. To calm myself down I tell myself that if I was infected orally, it probably would have shown itself by now, if it did on my genitals more than once.  My question is, do people who have outbreaks on both get it at the same time? Did someone have genital outbreaks only for a time and then down the line have oral ones too suddenly because it was just dormant? Or would it have shown itself by now regardless?",Genital Herpes
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/77529/its-getting-worse,Its getting worse,I am having this bumps around my clitoris and labia. I dont know what it is. It is sometimes itchy. I hope you can help me. I wish i can attach some pictures here but I dont know how.,
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/77699/these-little-bumps-scare-me,These little bumps scare me,I have these little bumps around my labia minora and my vagina and they don't itch no pain nothing I'm concerned about it !! This is what they look like !!,Women's Issues
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/77697/don-t-know-what-kind-of-bumps-these-are-and-i-m-scared,Don't know what kind of bumps these are and I'm scared,These bumps are around my Labia minora and also around the vagina I'm scared because they are painless and they where never there !!! They are timy and feels like somewhat a tongue texture soft and little but painless.,Women's Issues
