disease,postLink,postHeading,postContent,postTags
Heart Health,https://messageboards.webmd.com/health-conditions/f/heart-health/82971/ldl,LDL,"My recent blood work shows LDL cholesterol of 112 H.  Is this something to worry about? Change my diet? I eat healthy, exercise everyday - training for a half marathon. Is it something I am eating, not eating.  Cholesteral total 188 HDL - 58 Triglycerides 82 Chol ratio - 3.2 Non HDL cholesterol - 138 H",Cholesterol Control
Heart Health,https://messageboards.webmd.com/health-conditions/f/heart-health/70820/proximal-and-mid-lad-stents,Proximal and mid LAD stents,"Hello, first time posting here. I'm looking for some support on my recent heart health issues. I'm a 43 y/o male nonsmoker. I have significant family history of poor heart health on my mothers side. I won't go into all of the specifics unless to keep this as short as possible. Here's my story: Around the first of this year I noticed some occasional dull achy chest pain. Was very sporadic and could happen at any time. This eventually became more and more frequent. In March I was sitting at work and was feeling the dull ache when I had an episode of sudden intense chest pain that doubled me over and caused SOB, nausea, and extreme sweating. A couple of weeks later I had some extreme SOB after moving a heavy object. My PCP did a work up (chest xray, holter monitor, ekg). All was normal except for ekg shows bradycardia (I exercise frequently). Cardiologist was not impressed but offered to order a stress test or CTA of Heart for my peace of mind. Being and xray tech, I opted for the CTA and it was positive for LAD stricture. On May 30th a Heart cath revealed an 80% ""widow maker"" stenosis in the mid LAD. Stent was placed and after increasing my workout routine I felt like a new man after a couple of weeks, all symptoms gone. Afterwards I correlated extreme fatigue and dizziness. Fast forward a couple of months and the dull achy pain starts coming back along with fatigue. On 9/27 I was jogging and had some pretty intense chest pain along with nausea and sweating. A trip to the ER and a heart cath later in the day and they find another 75% stenosis even more proximal in the LAD. Another stent was placed. F/u with my cardiologist was interesting. He doesn't feel that either stenting explained any of my symptoms and he couldn't explain why the other blockage happened so quickly. I'm still having the dull achy pressure/pain along with dizziness and sporadic SOB. On 10/16 I was also having some sharp stabbing type pain as well so I went to ER AGAIN. Nothing was found, troponin was ok. Was kept overnight for observation. Eventually the pains stopped in the night. My PCP is not satisfied that what has been done is sufficient. Based on the location of these blockages, he's concerned that maybe a bypass was the correct option from the start. Both interventionalists mentioned the possibility of by pass before each stent. My cardiologist says I need to be seen in a tertiary facility and I have an apt to see a specialist on 11/9. It's hard to correlate all of the things that I'm experiencing, but I know that something is not right with me. Any information or ideas would be very welcome. Thanks in advance to anyone who took the time to read all of this.",Heart Disease
Heart Health,https://messageboards.webmd.com/health-conditions/f/heart-health/54095/please-help,Please help,I am 32 years old and I already got an EKG and echo done for my heart and everything seems to be fine. But lately I getting some chest pain around my left side and my left arm has been hurting for a few days now. Can someone please tell me if I should be worried.,
Heart Health,https://messageboards.webmd.com/health-conditions/f/heart-health/53599/lbbb-and-pulmonic-insufficiency,LBBB and Pulmonic Insufficiency,I have been diagnosed with both a left bundle branch block and pulmonic insufficiency. I am wanting to know can one effect the other and if I should be concerned that something could happen to me if it goes untreated. I am now 46 years old and not in the best shape.,Heart Disease
Heart Health,https://messageboards.webmd.com/health-conditions/f/heart-health/53688/propranolol-and-mucinex-dm,propranolol and mucinex dm,Hi I have acute bronchitis and I am wondering if Mucinex Dm is safe to take along with my propranolol.,High Blood Pressure
Heart Health,https://messageboards.webmd.com/health-conditions/f/heart-health/53670/heart-palpitations-with-a-normal-heart-rate,Heart Palpitations with a normal heart rate,"Hi I am a 48 year old perimenopausal female. What type of palpitations occur that make you cough? I cough every time I have a palpitation. I also check my heart rate when this occurs and it's normal, 72 beats per minute. I thought when you were having palpitations, your heart rate would increase?",
Heart Health,https://messageboards.webmd.com/health-conditions/f/heart-health/47579/is-something-wrong-or-am-i-just-fat,Is something wrong or am I just fat?,"First off, I will say I am a morbidly obese, 25 yr old female. I weight about 285lbs and am only 5'4"". I do have known issues with acid reflux and I had a stomach ulcer within the last year and esophagitis? I am trying to eat better and less, but still I struggle. Recently, since around January, I have been having strange chest pains. My left side of my chest hurts almost every day, some days it doesn't though, but those days are rare. My left arm has an uncomfortable pain aswell... It's not really painful, like a sharp or stabbing pain would be, but it's really uncomfortable and feels like something is wrong if that makes sense. I will randomly become very weak, shaky and feel like I will pass out. I've been getting the most intense head pains, on the sides where my temples are and have never had headaches like it before in my life. Also at random times, even when not doing anything, my chest will feel like it's pumping hard and fast as if I just ran or something. I want to exercise but I am actually scared to at this point. And the worst part of it all is that I cannot sleep at all! For months now, whenever I lay down I can barely breathe. I am usually a side sleeper but that is not even an option now, and can barely sleep on my back either. I try to sleep sitting up but I am just so miserable and uncomfortable. I want to go to my doctor to maybe get my heart checked out, but she always just kind of brushes me off and says ""You're morbidly obese, you need to lose weight and exercise and you will feel better."" Is that true or should I be pushing for more to be looked at? I mean I'm sure it would help and I know that it needs to be done but I feel like I'm about to drop dead.  A few other things to mention:  -My breasts are very very large and heavy, so heavy and large that they cover my whole stomach. Maybe they are too heavy for my chest and my arm is constantly off to the side because they can't rest against my sides due to my gigantic breasts.  -I recently had a blood test done, in I think December, to see if I had a problem with my thyroid. It came back that I do not have a problem with it, but surely she would see if I had other problems right, so I should be okay? -My dad died from an undetected enlarged heart, which led to a brain aneurysm. He went to the doctor almost twice a month and the coroner told us his heart was 3x the size of a normal heart.  I guess my question is just, should I look for another doctor since I feel that mine doesn't listen to me or do anything when I tell her how badly I feel or is it just because I am so fat and I have to deal with it until I lose a massive amount of weight?","Exercise , Diet , Heart Failure , Heart Attack , Heart Disease"
Heart Health,https://messageboards.webmd.com/health-conditions/f/heart-health/52640/multiple-high-blood-pressure-meds,Multiple high blood pressure meds,"I take Losartan 100mg, amlodipine 10 mg, Metoprolol 75 mg, and HCTZ 25 mg daily. I take my medications religiously and yet my blood pressures are running very high. Today I had to leave work early because my BP was 236/122 and my vision in my right eye was very distorted. I can't take an Ace inhibitor because it makes me cough severely. I have taken clonidine and valium in the past and it helped but I think my current doctor doesn't want to try this. I don't want to have a stroke and I'm really worried I could if I don't get this under control soon. I have been treated for high blood pressure since I was a teen and weighed 115 lbs soaking wet. I'm 57 now, a female and I need to lose 80 lbs. Any suggestions and yes I have started a low calorie, low sodium, cardiac diet and I drink at least 5 (20) ounce bottles of water a day and I never have smoked, I drink maybe 2 glasses of red wine a month, and I have trouble sleeping and I have stopped all caffefine.",High Blood Pressure
Heart Health,https://messageboards.webmd.com/health-conditions/f/heart-health/52765/belching-induced-pacs,Belching-induced PACs?,"59 year old man. History of PACs that weren't noticeable to me -- just showed up sometimes on annual physical exam EKGs.  I burp when nervous, and was successfully treated for GERD so bad that I had an erroded esophagus -- healed now.  When I drink carbonated ANYTHING and burp, I get PACs each time I burp. Doesn't matter whether drink is caffeinated or not -- soda water does it too. BP is high when PACs happening, but Dr. says that is due to the early beats spiking the pressure.  Just starting to dig into this -- wondering if vagus nerve is being stimulated by the gas bubbles in the esophagus, causing heart to fire early. Would love to hear if this sounds familiar to anybody out there. If so, I sympathize -- this is scary and annoying.",
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/38393/have-a-rash-down-below-and-i-m-confused,Have a rash down below and I’m confused,"Hi, so ever since the heat started kicking in I’ve noticed a rash down on my inner thighs. When I first got it it was extremely itchy, it has settled down now with itching until I go work out or just get sweaty. It has discolouration in the skin and it’s scaly and flaky. I’ve tried nothing for it yet except recently putting paw paw cream on it. It dries out even to a small amount onto my two ball fellas right beside. Is it just jock itch? Or is it something else? It also has a few tiny red spots I take are from the skin cracking but I’m not too sure. What can I do??? P.S (i’m so sorry for the picture, just so you have a better idea of what it’s like)","HPV/Genital Warts , Men's Issues , Genital Herpes"
