disease,postLink,postHeading,postContent
Sciatica,https://patient.info/forums/discuss/best-mattress-for-sciatica-691345,BEST MATTRESS FOR SCIATICA,"Hi, can anyone recommend the beat kind of mattress to buy to help with sciatica pain? 0 likes, 2 replies "
Sciatica,https://patient.info/forums/discuss/microdiscectomy-success-rates--691262,Microdiscectomy success rates??,"I'm hoping to have surgery for disc bulge L5/S1 within the next few months. i have been off work now for 13 months. I'm a postwoman and walk up to 13 miles per day carrying weight obviously. My question is from people who have had this surgery, have you been able to return to full activities, have you had a full recovery and do you think it possible that I will be able to return to my job? My neurosurgeon reckons that I will be able to return to full activities, is he being hopeful? 0 likes, 5 replies "
Sciatica,https://patient.info/forums/discuss/so-much-pain-695329,So much pain,"hi  i m new to this forum.  Hav nt been officially diagnosed yet but can anyone tell me the symptoms of sciatica.  I m in so much pain 0 likes, 4 replies "
Scleritis And Episcleritis,https://patient.info/forums/discuss/recurrent-episcleritis-and-hope-at-last--18832,Recurrent Episcleritis and hope at last!,"I am 41, female and have been healthy all of my life until i had a bout of shingles 4 years ago. I do not know if it is related and my GP will not commit to say it is but after Shingles I kept getting episcleritis.I tried Pred Forte which worked well at first but as my bouts of episcleritis increased i was told to stop using it as the pressures in my eyes increased. I then used Acular but it is not nearly as effective. I got steadily more fed up with looking like something out of a horror film 2 weeks out of each month so in despair went to see a nutritionist. She advised me that the episcleritis was a symptom of my immune system being damaged and put me on a course of Vitamin B, Omega 3 fish oil, a general multi vitamin and a pro biotic plus a daily dose of an anti oxidant supplement with vitamins A,C and E. Unless you are pregnant or wanting to be, I think this has made a difference as apaprt from one day of a vague redness (normally it wold last 10) I have not had a recurrence. It seems to be working so I wanted to share this with you. erhaps give it a go. Good luck. 0 likes, 34 replies "
Scleritis And Episcleritis,https://patient.info/forums/discuss/struggling-with-posterior-scleritis-616840,Struggling with posterior scleritis,"Hi, my name is Lucy. I'm 31 and I got diagnosed with posterior scleritis on the 1st of March 2013, I was 26. My life has changed a lot since then. I struggle to cope with the pain, I've not managed to go 3 months without a bad flare up. I have taken prednisolone steroid for prolonged amounts of time and I hate them. They make my   and   worse and my mood swings hard to cope with. My joints swell, my face swells. It makes very self conscious. I am now on methotrexate injections but still have flare ups. I have 2 young children who I raise alone with the help of my mum. I have been signed off sick but received a letter today saying that don't think my illness is severe enough to help me. There is a lot of other things going on at the moment and I've never felt more alone. I've never meet anyone else who suffers with posterior scleritis, I was wondering if anyone had any advice on how to deal with this disease?  Any advice would be much appreciated.. Thank you. 1 like, 8 replies "
Sciatica,https://patient.info/forums/discuss/s1-l1-decompression-lumbar-laminectomy-3-herniated-disks-sclerosis-s1-root-impindgment-i-thinks1-695238, S1 L1 decompression lumbar Laminectomy 3 herniated  disks sclerosis S1 root impindgment I thinkS1,"day two  not to sure  what you call it but coowee , you see people worry about if they can do there old job or this that after a disk or a couple of disks, day two and the thought  of people thinking will they be able to do there old job wont even be thought , get a two hour operation on your back before you go in they will give you ten pills to neck before your operation what they are who knows you wont care ,you will just be thank full your still alive when you come around  , then you will be thankfull you can twidle your toes , then your throat and toung  feel like its been draged along the hostpital floor while you were out cold, the pipe they put in to help you breath will give you a horrible throat , then you will see a bag of diffent  pills a bottle of morfine 5-10 ml ever 6 hours, codeine 2 times a day  cocodamor4x  , gabapentin2x , omieprazidol 1 . then your normal medication . people i see ask that question of can or will i be able to do there old job, 2nd day if they have  cut away the lamaninectormy which i could quite happily say mine feels like a shotgun had blasted it i was not surprised it feels like it does , depending on how bad it is but they do not do the operation if you have not reached the right limit of there is no other option , my thoughts are its a full time job taking the pills,then if your adventurous on the second day you will go walk about lay down walk about lay down little walks and then the penny will drop as you look at the morphine ever 6 hours and you will say ummm do i really want to be doing 10 ml or 5 ml of morphine as your throat will still be rank from the breathing tube they put in you to breath for you,  they are nice as pie the operating team, i cant think that anyone would be worried one little bit on there old job after a back operation . THEY WILL SAY THIS IS TOUGH . THEY WILL SAY LETS WORRY ON TOMORROW . then they will see the letter addressed to the nurse at there surgery in 5 DAYS time and think thats a reasonable amount of time and a nice goal to aim at while they lay down on there what feels like a shotgun wound and if they did not get much sleep the first night then they will not on your nelly be thinking on any job , they will be thinking thats if they had no sleep the first night , they will think are they so tired they need not so much medication as they truly do not want to wake up at 2-4 o clock . conservation allowing you to walk having your bowls work to have your self being able to pee properly is a bonus they will not let you out the hospital if you cant pee, one thinks ummm my mouth tastes great 😃 its tough but its not overly tough ,not over  doing it and its as long as a bit of string that is , so if you do have a lumbar or any decompression or have had a lumbar lamenectormy micro grinding away i would love to hear of an ironman or women who thought about work or had any thoughts on there old job or any job on there second night out of a major disk operation . if i get some sleep i will put a rosy 😃 😃 😃 on day three now where is that morphine ummm 5-6-7-8-9-10 in me milk a codien had me amatriptalin for nerve pain and brush this mouth out . i have a double hernia operation in two to three months time which will take me out for another two months  as liparascopic operation double inguanal booked up so that makes it sound that they recon the recovery will be three months ish i was going to just do one about back but i am a lucky person it might be me being a tad negative as i will run right into another operation. wave good by to the year. i have dislexia and AD HD SO ITS FOR EVER 😃 1 like, 16 replies "
Scleritis And Episcleritis,https://patient.info/forums/discuss/posterior-scleritis-and-acupuncture-611341,Posterior Scleritis and acupuncture ,"Has anyone tried this treatment with success? I was diagnosed with posterior scleritis 9 years ago, been on prednisone at various doses ever since. Tried methotrexate, cellcept, and   in my eyeball.  They are all bandaids, not actually cureing anything. But recently I decided to go the eastern route... I'm seeing a Chinese healer for acupuncture, he believes all eye diseases stem from a week liver. He is trying to strengthen it with herbs and acupuncture, and I haven't had any flairs yet. But time will tell. Just wondering if anyone has had any luck with it, thanks! 0 likes, 12 replies "
Scleritis And Episcleritis,https://patient.info/forums/discuss/link-between-episcleritis-flare-up-and-intensive-computer-usage-676360,Link between Episcleritis flare up and intensive computer usage,"Hi everyone, do you guys happen to know the link between Episcleritis flare up and intensive computer usage? Or should I ask, when your eyes flare up, did you happen to be in front of computer screens for a long time? Does staring at computer screen for a long time slow down the healing process or make your  eyes condition even worse? Sometimes, when my eyes flare up, I tend to link it to intensive computer usage. Hope heavy computer users with related experience can share their opinions here. Thank you. 0 likes, 1 reply "
Scleritis And Episcleritis,https://patient.info/forums/discuss/recurrent-episcleritis-663428,Recurrent episcleritis,"I have been having recurrent episcleritis since 2013 and is on my left eye only. Each flare up, I  feel eye discomfort like gritty feeling, photophobia, and watery eye. I do not feel much pain. I had it in year 2013, 2016 and 2018.  I was ordered to do systemic blood test and TB test every each time my left eye flare up. Each time the test result came back normal.  The first I had epislceritis, I was prescribed  with pred forte and arcoxia oral medication by my ophalmologist.  I was totally cleared in about 2 to 3 weeks time.  The 2nd flare up in 2016, same eye drop and oral medication prescribed.  It took me one month or so to completely cleared. The 3rd flare up was recent. I went to different eye doctor, was prescribed Lotemax and synflex 275 mg oral medication for one month. The moment i stop both the lotemax and synflex, the redness return. I was asked to continue for another one month with pred forte and synflex.  The moment i stopped taking synflex said about few days the redness start to come back.  Synflex created a mess in my stomach. I need to take nexium 40 mg to go with it. I am scheduled to see my eye doctor on the 3rd July 2018.   Am very depress that it keep coming back.   I need help and hope someone can share out their experience here. Thanks! 0 likes, 0 replies "
Scleritis And Episcleritis,https://patient.info/forums/discuss/ongoing-episcleritis-669106,Ongoing episcleritis,"Hi there, I'm 33 and have had several bouts of episcleritis in my left eye for the past 18 months now and I have only been to the doctor once for them to confirm it is that.  My last bout started at the end of May when my house almost flooded. It then started to disappear until I had to take my mum to the hospital and then it returned like a thief in the night. After reading lots of forums I think that stress is a huge factor for my condition along with diet. I'm currently not eating as much meat as I used too but I think I'm going to start taking more vitamins and also look at trying to control my stress.  I'm so glad to know I'm not alone in this. I hate having it as people comment and It annoys me so I think worrying about what people are thinking when they talk to me also doesn't help with stress. I also won't take anything over the counter for my eye as I feel it'll just make it worse. It's about treating the cause, not the symptoms. I also suffer from athletes foot and gum disease so I know there is another underlying problem here that needs to be addressed. I have also suffered from   in the past too. So I'm going to address my diet, I do exercise regularly anyway, look at some vitamin supplements and also look at addressing my stress levels. Any help would be much appreciated, ironically it's starting to get me down. Thank you   0 likes, 3 replies "
