disease,postLink,postHeading,postContent
Proton Pump Inhibitors,https://patient.info/forums/discuss/strage-health-problems-683867,Strage  health problems ,"hi all. i have a strange substance in my mouth and face. it moves like its under pressure from my stomach. I'm always bloated hunger never effects me. I'm taking lansoprazole  but not helping at all seems to be be getting worse every day. the doctor's it also effects my right arm any pressure and the pressure goes to my face anyone got a answer please. the doctor's  don't listen. 0 likes, 8 replies "
Proton Pump Inhibitors,https://patient.info/forums/discuss/omeprazole-not-working-28416,Omeprazole not working,"Can anyone help? I have suspected Acid Reflux and I have been taking Omeprazole for 3 weeks, I  have only noticed a very slight improvement in my condition and I'm wondering if I should stop taking them or do they take much longer to take effect. I have to say I'm not too happy taking them with all the side effects! 5 likes, 79 replies "
Proton Pump Inhibitors,https://patient.info/forums/discuss/coming-off-ppi-s-680388,Coming Off PPI’s,"Trying to come off Lansoprazole is incredibly hard. I suffer from terrible rebound acid when I do.  Unfortunately I’ve tried again and been really poorly with Gastritis. As I reduced the tablets over the past six weeks, it seems I’ve flooded my stomach with rebound acid and the symptoms of gastritis have made me really poorly.  I’m now back on double the dose of lansoprazole.  0 likes, 2 replies "
Proton Pump Inhibitors,https://patient.info/forums/discuss/i-ve-been-a-coeliac-for-a-few-years-and-the-last-4mths-have-been-getting-discomfort-in-my-chest--683494,I've been a coeliac for a few years and the last 4mths have been getting discomfort in my chest .,"I'm becoming anxious every evening when the chest discomfort ? indigestion starts and I'm going for CBT next week.  is anyone else experiencing anything similar? lesley 0 likes, 0 replies "
Propranolol,https://patient.info/forums/discuss/magnesium-for-palpitations-682493,Magnesium for palpitations ,"Has anyone tried this? Everywhere i read is see great reviews and even doctors on YouTube say it is a great mineral to take if u suffer from anxiety and palpitations, anyway if u have taken it is it ok to take while taking propanolol? 0 likes, 0 replies "
Prostate Cancer,https://patient.info/forums/discuss/wife-dealing-with-erectile-dysfunction-after-prostate-cancer-treatment-683321,Wife dealing with erectile dysfunction after prostate cancer treatment ,"I'm having serious issues dealing with my husbands erectile dysfunction since his radiation and hormone therapy for prostate cancer 2 years ago.   he is almost 10 yrs older than me and we had healthy sex life prior to diagnosis and treatment !  after treatment theres a significant size difference and problems obtaining and maintaining erection  Even at full capacity penetration doesnt occur but he is able to be satisfied in 2 or less fast minutes  Now i hate it and try to avoid it at all costs!  i still love him but avoid touching or any kind of affection since he then thinks it's ""time""   As much as i miss sex terribly  i would rather not do it at all and it is causing a major rift in our almost 40 year marriage   We are both depressed and irritable  I am not good at pretending  so he is well aware that i hate it  now  We are now like roommates   What should we do? 0 likes, 12 replies "
Prostate Cancer,https://patient.info/forums/discuss/don-t-rush-in-to-having-treatment-that-you-may-not-need--669135,Don't rush in to having Treatment that you may not need!,"A bit of advice -  for what it’s worth It’s over 7 years since I had the fright of my life when the biopsy I had came back as Gleason 3:3 following an elevated PSA – 5.7 and then 7 in the previous 2 months. But I was only 49 years old and knew nothing about Prostate Cancer and immediately thought I was going to die within a year!!!  So I was advised to have either Brachytherapy or have it removed despite the very serious side-effects that would result. So I did some research and having done so it immediately became quite clear that many, many men opt for these procedures when they could and should have remained on Active Surveillance. It still makes me angry now thinking about the appointments I had with Doctors saying that the Multi-Disciplinary Team meeting advised to have the condition treated. It really is nothing short of a scandal how many have treatment when they either don't need it or don't need it yet. There are numerous studies out there to show that the risk of dying from Prostate Cancer – especially someone my age are just the same whether you have radical treatment or not. Obviously this isn’t the same for everyone and people have different circumstances. As a mental health nurse I can quite easily cognitively deal with the fact I have cancer,  but of course this isn’t the case for some who just “want it out”. My PSA last month was 2.2 and hasn’t been above 3 for over 3 years. So if you’re in a position that is similar to mine – don’t rush into it – there must be so many men out there who have had radical surgery who really didn’t need to, and I can’t imagine how some of them feel. Yes there must be many instances when this does need to happen, but bear in mind there’s many instances that it doesn’t. Best of luck everyone Mark 3 likes, 7 replies "
Prostate Cancer,https://patient.info/forums/discuss/2-years-since-prostate-removed-669124,2 years since prostate removed ,"Hi is it normal to feel crap mentally after this long 0 likes, 14 replies "
Prostate Cancer,https://patient.info/forums/discuss/now-what--674494,Now what?,"Over A year ago by PSA went from .9 to 2.3. 2 months later it was 1.8. 6 months later it was 3.9. I then panicked and had an MRI it showed a small lesion (pirads 3-inconclusive). I had a 4k score test which  showed a psa of 1.8 and a chance of getting cancer in the next 10 years to be only 4%.. In May(1 year past by psa of 2.3) I had my yearly physical with a PSA of 1.7. My Dr said we will check it yearly. All looks good. Now...not sure if this is related but out of the blue on Friday, I had a burning sensation, urgency to pee then pain at the end of my pee with drops of blood. This happened 3 times. I then drank tons of water and cranberry juice and the symptoms went away. I went to urgent care on Sat and the Dr. did not see an infection but gave antibiotics just in case. It is now Mon morning and I seem fine and have had no pain or blood in a couple of days? I only woke up one time to pee last night. If it was prostate cancer would it clear up that quickly? and can I go from a psa of 1.8 a couple of months ago to a cancer that caused those problems? Confused thank you 0 likes, 8 replies "
Prostate Cancer,https://patient.info/forums/discuss/its-that-possible-my-prostate-getting-bigger-just-20-days-681997,its that possible my prostate getting bigger just 20 days,"after take flomax 17 days (improve 15 sec, before take flomax 30sec) but this 3 day i get worse ! i almost take 20 minuets-  in toilet just for waiting my urine come out, then my urine so slow stream . i got check ct scan and usg but all result for my prostate okay but my urine flow test say bladder outlet obstruction. what should i do now ??  my URO not in my country (im not respect with URO  in my country because many reason) its thats possible bph getting bigger just in many week ? its bph or cancer 😦, in 12 SEPTEMBER igot my psa check in 0,7ml its so stress me out :""( . im male 24 0 likes, 4 replies "
